a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
,,two,,zero,one,43.0,,,zero_one_zero_zero_zero
two,3.0,two,,zero,two,43.0,one,44.0,
,,one,45.0,,two,39.0,one,16.0,
zero,3.0,,24.0,zero,,39.0,one,,
,6.0,,39.0,zero,two,9.0,one,,zero_one_zero_zero_zero
one,,three,24.0,zero,,47.0,one,5.0,
one,2.0,,,,,29.0,one,39.0,
,,one,32.0,zero,zero,,one,17.0,
,2.0,zero,40.0,zero,zero,39.0,,,
zero,4.0,three,55.0,zero,zero,14.0,zero,65.0,
two,4.0,,31.0,,,77.0,one,35.0,
zero,4.0,three,19.0,zero,zero,29.0,,,
zero,1.0,zero,12.0,zero,one,65.0,one,22.0,
zero,5.0,,8.0,zero,zero,71.0,one,18.0,zero_zero_zero_zero_zero
zero,4.0,three,35.0,zero,one,64.0,one,45.0,
,,two,44.0,zero,,,one,54.0,zero_zero_one_zero_zero
,3.0,two,19.0,,three,22.0,,29.0,
two,4.0,zero,,,two,44.0,one,,
four,5.0,zero,,zero,,63.0,one,12.0,
zero,5.0,two,48.0,zero,zero,39.0,one,21.0,
zero,2.0,one,15.0,zero,two,43.0,one,,zero_one_zero_one_zero
zero,,two,37.0,zero,,59.0,one,47.0,
one,11.0,nine,37.0,zero,zero,29.0,,12.0,zero_one_zero_one_zero
zero,2.0,one,14.0,zero,one,47.0,one,0.0,
,3.0,two,22.0,zero,,3.0,one,,zero_one_zero_one_zero
zero,3.0,one,,zero,,47.0,one,21.0,one_one_zero_one_zero
one,4.0,zero,44.0,zero,zero,39.0,,54.0,
one,,two,,,zero,17.0,one,30.0,
zero,,three,,zero,two,,one,8.0,zero_zero_zero_one_zero
zero,2.0,,27.0,zero,zero,43.0,one,35.0,
zero,2.0,zero,12.0,zero,,29.0,,21.0,one_one_zero_zero_one
zero,3.0,two,36.0,,zero,39.0,one,,
,2.0,one,21.0,,three,53.0,one,,zero_one_zero_one_one
zero,3.0,two,,zero,one,,one,40.0,zero_zero_zero_one_one
one,2.0,one,23.0,zero,two,24.0,one,33.0,
zero,2.0,one,19.0,zero,zero,47.0,one,,zero_zero_zero_one_zero
one,3.0,two,,zero,one,,one,41.0,
zero,3.0,zero,11.0,zero,,,one,21.0,zero_zero_zero_one_zero
zero,0.0,,35.0,,zero,,one,3.0,one_zero_zero_zero_zero
four,,three,40.0,zero,,39.0,one,17.0,
zero,5.0,three,,,zero,,one,45.0,
zero,0.0,,22.0,zero,one,59.0,one,14.0,
one,4.0,zero,13.0,zero,,39.0,one,20.0,
zero,2.0,one,25.0,zero,one,47.0,one,28.0,zero_zero_zero_one_zero
zero,,,40.0,zero,zero,39.0,one,,
,5.0,three,10.0,zero,zero,11.0,one,20.0,
,1.0,zero,28.0,zero,zero,39.0,,5.0,
zero,9.0,six,37.0,zero,zero,39.0,,,
zero,2.0,zero,,zero,zero,47.0,one,21.0,
,,zero,,zero,zero,,one,1.0,one_one_zero_zero_zero
,3.0,two,36.0,zero,,39.0,one,29.0,
one,,one,38.0,zero,,83.0,one,27.0,
one,,zero,10.0,zero,zero,43.0,one,19.0,
one,,one,,zero,one,,,30.0,zero_one_zero_one_zero
zero,5.0,five,30.0,zero,zero,55.0,,,zero_one_one_zero_zero
two,3.0,two,36.0,zero,three,,one,25.0,one_zero_zero_one_one
two,4.0,,30.0,zero,,41.0,one,1.0,zero_zero_one_zero_zero
one,,two,22.0,zero,one,39.0,,24.0,
zero,3.0,two,17.0,zero,one,47.0,one,19.0,one_zero_zero_one_zero
one,,zero,27.0,zero,two,,one,37.0,
zero,5.0,zero,13.0,zero,two,43.0,one,20.0,zero_one_zero_zero_zero
one,3.0,two,37.0,zero,three,23.0,one,0.0,
,3.0,one,30.0,zero,two,,one,40.0,
one,,zero,18.0,,,,one,28.0,
zero,3.0,two,33.0,zero,zero,53.0,one,12.0,zero_zero_zero_one_zero
zero,3.0,two,18.0,zero,one,29.0,one,8.0,zero_zero_zero_one_zero
,2.0,,,zero,zero,,one,59.0,
,,zero,8.0,zero,zero,47.0,one,18.0,zero_zero_zero_zero_zero
one,,three,17.0,zero,,43.0,one,24.0,
zero,,two,31.0,zero,one,49.0,one,12.0,one_zero_zero_one_one
one,,zero,,zero,zero,47.0,one,12.0,
,7.0,zero,4.0,zero,zero,19.0,one,14.0,
zero,5.0,four,30.0,zero,zero,47.0,one,40.0,
one,0.0,zero,,,zero,47.0,one,8.0,
zero,2.0,two,25.0,,zero,49.0,one,,
one,4.0,one,42.0,,,49.0,one,52.0,
zero,0.0,,28.0,zero,,41.0,one,,
one,7.0,zero,12.0,zero,,44.0,one,6.0,
one,1.0,zero,,zero,two,,one,38.0,
zero,4.0,,,zero,zero,83.0,one,45.0,
zero,,,15.0,zero,zero,39.0,one,25.0,zero_zero_zero_zero_zero
zero,0.0,,30.0,,,39.0,one,19.0,
,,two,24.0,zero,zero,,one,20.0,
one,7.0,zero,23.0,zero,one,,one,30.0,
one,,two,27.0,zero,,,one,1.0,
one,4.0,,,zero,zero,,one,30.0,
,,three,37.0,zero,,41.0,one,47.0,
,2.0,,,zero,one,45.0,one,26.0,one_zero_zero_one_zero
zero,0.0,zero,23.0,zero,zero,59.0,,8.0,zero_zero_one_zero_zero
zero,2.0,,,zero,zero,41.0,one,33.0,zero_zero_zero_one_zero
zero,3.0,two,37.0,zero,zero,44.0,one,7.0,zero_zero_zero_one_zero
zero,3.0,two,,zero,one,23.0,zero,,
one,1.0,zero,47.0,zero,,19.0,one,10.0,
one,2.0,one,,zero,,59.0,one,29.0,zero_zero_zero_one_zero
zero,3.0,zero,1.0,zero,,39.0,one,4.0,one_zero_zero_zero_zero
,2.0,zero,39.0,zero,two,71.0,one,,zero_zero_one_zero_one
zero,4.0,,39.0,zero,three,89.0,one,49.0,
,2.0,,52.0,,zero,,one,43.0,
two,3.0,two,,zero,,,one,52.0,zero_zero_zero_one_one
one,2.0,,32.0,zero,zero,39.0,one,39.0,
zero,5.0,three,43.0,zero,zero,39.0,one,10.0,
zero,4.0,zero,8.0,zero,one,44.0,,8.0,
two,8.0,zero,9.0,,one,49.0,one,0.0,
one,,zero,20.0,zero,three,43.0,one,2.0,
zero,3.0,zero,,zero,one,,one,,zero_zero_zero_zero_zero
zero,5.0,,46.0,zero,zero,49.0,zero,56.0,
one,3.0,two,28.0,zero,,,one,,
two,1.0,zero,24.0,,,43.0,,34.0,
,5.0,four,28.0,,two,43.0,one,,zero_one_zero_one_one
,2.0,one,14.0,zero,zero,44.0,one,24.0,
one,,zero,,zero,,,one,53.0,
zero,2.0,,18.0,zero,zero,43.0,one,28.0,one_zero_zero_one_zero
,3.0,,,zero,zero,43.0,one,12.0,zero_zero_zero_one_zero
,,,29.0,zero,one,49.0,one,33.0,
zero,4.0,,22.0,zero,two,,one,20.0,
zero,3.0,zero,,zero,zero,29.0,one,45.0,zero_zero_zero_one_zero
zero,2.0,one,24.0,zero,one,39.0,one,9.0,
one,2.0,zero,23.0,zero,three,39.0,one,32.0,
,0.0,,27.0,,one,69.0,one,20.0,zero_zero_one_zero_zero
one,2.0,one,17.0,zero,two,69.0,one,27.0,
zero,2.0,one,33.0,zero,three,39.0,one,,
one,3.0,two,35.0,,zero,49.0,,45.0,
zero,2.0,,23.0,zero,zero,44.0,one,26.0,
one,,zero,28.0,zero,,,one,38.0,
zero,1.0,,17.0,zero,one,41.0,one,,one_zero_zero_zero_one
one,,zero,14.0,zero,two,39.0,one,23.0,
zero,8.0,four,,zero,zero,45.0,one,23.0,one_zero_zero_one_one
,3.0,,24.0,zero,three,59.0,one,34.0,
one,,four,37.0,zero,,49.0,zero,22.0,zero_zero_zero_one_one
zero,3.0,two,27.0,zero,,47.0,one,,zero_one_zero_one_zero
one,,two,35.0,zero,one,69.0,one,24.0,
zero,1.0,zero,27.0,zero,two,24.0,one,37.0,zero_one_zero_one_zero
,5.0,two,16.0,zero,zero,,one,26.0,
zero,3.0,two,37.0,,two,,one,22.0,
zero,3.0,two,15.0,zero,zero,69.0,one,,
zero,9.0,seven,38.0,,zero,71.0,,,zero_zero_zero_one_zero
two,,one,53.0,zero,one,59.0,one,43.0,
one,,one,,zero,one,,one,7.0,
zero,3.0,two,21.0,zero,zero,39.0,one,,zero_zero_zero_one_one
zero,3.0,one,,,one,39.0,one,50.0,
zero,4.0,,24.0,zero,zero,49.0,one,25.0,
zero,2.0,one,34.0,zero,two,35.0,one,8.0,
zero,4.0,one,52.0,zero,one,5.0,zero,62.0,
,2.0,zero,20.0,zero,two,43.0,one,30.0,
zero,3.0,two,18.0,,zero,50.0,,28.0,
zero,1.0,one,34.0,zero,zero,29.0,one,44.0,
one,0.0,zero,,zero,three,39.0,one,30.0,
zero,4.0,three,37.0,zero,zero,55.0,one,40.0,
,2.0,one,,zero,,59.0,one,18.0,
zero,3.0,,24.0,zero,zero,83.0,one,12.0,
,9.0,two,19.0,zero,one,81.0,one,29.0,
one,4.0,zero,,zero,one,,one,,
one,1.0,zero,,zero,,49.0,,42.0,
zero,3.0,two,27.0,zero,one,59.0,one,30.0,
zero,3.0,two,36.0,zero,zero,49.0,one,39.0,zero_zero_zero_one_zero
zero,1.0,one,46.0,zero,zero,39.0,,,
zero,4.0,zero,18.0,,two,19.0,,8.0,zero_one_zero_one_one
zero,5.0,zero,9.0,zero,one,44.0,one,,zero_one_zero_zero_zero
zero,3.0,zero,8.0,,,,one,18.0,zero_zero_zero_zero_zero
three,,one,41.0,zero,two,,one,51.0,
zero,4.0,zero,13.0,zero,zero,47.0,one,23.0,
one,3.0,two,,zero,zero,43.0,one,5.0,
,,,2.0,zero,zero,43.0,one,12.0,
zero,5.0,zero,14.0,zero,two,39.0,one,24.0,zero_zero_zero_zero_zero
one,,zero,22.0,zero,,24.0,one,32.0,zero_zero_zero_one_one
zero,11.0,,,zero,zero,47.0,one,22.0,
zero,,three,30.0,zero,,49.0,one,40.0,zero_zero_zero_one_one
zero,0.0,,20.0,zero,zero,47.0,,4.0,
one,1.0,zero,13.0,zero,one,35.0,one,23.0,
zero,6.0,five,32.0,zero,zero,24.0,one,,
,2.0,two,40.0,zero,zero,44.0,one,39.0,
one,,,,zero,,,one,24.0,
zero,4.0,three,,zero,zero,27.0,one,63.0,zero_zero_zero_one_zero
zero,1.0,zero,57.0,zero,zero,29.0,,30.0,
,6.0,zero,5.0,,zero,,one,15.0,
,6.0,zero,21.0,zero,two,44.0,one,30.0,
,2.0,,40.0,zero,zero,47.0,zero,,
zero,,zero,11.0,zero,one,59.0,one,21.0,
zero,1.0,,23.0,zero,two,43.0,one,,zero_zero_zero_one_zero
zero,3.0,two,19.0,zero,two,,one,7.0,
one,3.0,two,22.0,zero,,39.0,one,,zero_zero_zero_one_zero
zero,0.0,zero,30.0,zero,two,55.0,one,40.0,
one,,two,19.0,zero,,39.0,one,7.0,
,4.0,zero,26.0,zero,three,44.0,one,30.0,
zero,2.0,,27.0,zero,zero,,,37.0,
zero,1.0,zero,16.0,zero,zero,43.0,one,26.0,
zero,2.0,one,,zero,zero,,one,,zero_zero_zero_one_zero
zero,2.0,one,15.0,zero,two,71.0,one,4.0,zero_zero_zero_one_one
,3.0,zero,11.0,zero,one,47.0,one,21.0,
one,,two,33.0,one,two,,one,21.0,
one,5.0,three,35.0,zero,,,one,29.0,
zero,3.0,,27.0,zero,one,47.0,one,6.0,
one,2.0,one,55.0,zero,,39.0,,52.0,zero_one_zero_one_zero
zero,1.0,zero,37.0,,two,36.0,,,
zero,4.0,three,26.0,zero,zero,39.0,one,12.0,
one,4.0,three,46.0,zero,,,one,56.0,
zero,,,22.0,zero,zero,47.0,one,,
zero,2.0,,,zero,,47.0,one,46.0,zero_zero_zero_one_zero
zero,,one,18.0,zero,one,19.0,,28.0,
one,4.0,zero,,,two,19.0,one,20.0,
one,3.0,two,36.0,zero,zero,,,25.0,
zero,,two,,zero,one,17.0,one,,
zero,4.0,three,38.0,zero,,29.0,one,48.0,
two,3.0,two,37.0,zero,three,29.0,,31.0,
zero,3.0,two,33.0,zero,one,39.0,one,30.0,
,0.0,zero,14.0,,one,,one,24.0,
zero,0.0,zero,12.0,zero,one,47.0,zero,16.0,
,,two,41.0,zero,two,39.0,one,39.0,
zero,3.0,two,26.0,,zero,47.0,one,36.0,
one,2.0,,31.0,zero,,39.0,one,28.0,one_zero_zero_one_one
two,4.0,,31.0,zero,zero,,one,,zero_zero_zero_one_one
one,,zero,7.0,zero,,,one,10.0,
zero,2.0,one,11.0,zero,one,47.0,one,10.0,
,,zero,20.0,zero,zero,59.0,one,30.0,
zero,3.0,zero,,zero,one,,one,14.0,
zero,4.0,,,zero,zero,19.0,one,,zero_zero_zero_one_zero
two,2.0,one,28.0,zero,two,43.0,one,13.0,zero_zero_zero_one_one
two,11.0,three,16.0,zero,one,,one,,zero_zero_zero_one_zero
zero,,six,32.0,zero,zero,39.0,one,,
zero,4.0,zero,9.0,,one,35.0,one,19.0,
zero,2.0,,29.0,zero,zero,,one,5.0,
two,,zero,49.0,,two,39.0,one,59.0,
zero,3.0,two,34.0,zero,one,47.0,one,44.0,
one,2.0,one,36.0,zero,,,one,20.0,
zero,,four,26.0,zero,,69.0,one,,zero_zero_zero_one_zero
one,,two,33.0,zero,two,,one,43.0,
zero,5.0,,34.0,zero,one,69.0,one,44.0,zero_zero_zero_one_zero
zero,2.0,,18.0,zero,zero,43.0,one,,
one,,two,28.0,zero,one,,one,38.0,
zero,5.0,,19.0,,zero,39.0,one,28.0,
zero,1.0,zero,,zero,zero,59.0,,67.0,zero_zero_zero_one_zero
one,,one,23.0,zero,,65.0,,33.0,
zero,2.0,,23.0,,,65.0,one,6.0,
zero,3.0,,17.0,zero,one,43.0,one,25.0,zero_zero_zero_zero_one
zero,3.0,two,18.0,zero,one,39.0,one,21.0,zero_zero_zero_one_zero
zero,2.0,one,27.0,zero,zero,39.0,one,37.0,zero_zero_zero_one_zero
one,3.0,three,33.0,,,43.0,,30.0,zero_one_one_zero_one
zero,3.0,two,15.0,,zero,83.0,one,25.0,one_zero_zero_one_zero
one,6.0,one,,,one,,zero,34.0,
zero,1.0,,31.0,zero,one,43.0,,41.0,
,1.0,,28.0,,two,,,12.0,one_zero_one_zero_one
zero,3.0,,37.0,zero,zero,49.0,,12.0,zero_one_zero_one_zero
one,4.0,three,29.0,zero,one,43.0,,4.0,
,1.0,zero,53.0,zero,zero,5.0,one,49.0,zero_one_one_zero_zero
two,3.0,two,51.0,,zero,95.0,one,61.0,zero_zero_zero_one_one
zero,3.0,zero,8.0,,one,47.0,one,18.0,
zero,3.0,zero,56.0,,zero,34.0,,50.0,zero_zero_zero_one_one
,1.0,zero,57.0,zero,two,39.0,one,,
one,,three,40.0,zero,zero,43.0,one,31.0,zero_zero_zero_one_one
zero,5.0,four,44.0,zero,one,64.0,one,53.0,
,4.0,two,,zero,one,,one,,zero_zero_zero_one_zero
,,zero,11.0,zero,two,47.0,one,21.0,
,11.0,zero,10.0,zero,zero,83.0,one,,zero_one_zero_zero_zero
zero,6.0,five,26.0,zero,zero,47.0,one,15.0,one_zero_zero_one_zero
zero,2.0,,14.0,zero,one,39.0,one,,one_one_zero_one_zero
zero,2.0,,18.0,,zero,47.0,one,28.0,
,3.0,,7.0,zero,one,,one,17.0,zero_zero_zero_zero_zero
,5.0,four,28.0,zero,one,39.0,one,,
,2.0,one,25.0,zero,two,41.0,one,,one_zero_zero_one_one
zero,4.0,three,18.0,zero,zero,59.0,one,27.0,zero_zero_zero_one_one
,2.0,two,35.0,zero,zero,54.0,,45.0,zero_one_one_zero_zero
,3.0,two,40.0,,one,53.0,one,45.0,
zero,10.0,zero,13.0,,zero,39.0,one,23.0,
zero,4.0,three,,zero,three,49.0,one,8.0,zero_one_zero_one_one
one,,two,,zero,,44.0,,48.0,
zero,4.0,zero,6.0,zero,one,47.0,one,,
zero,3.0,zero,,zero,zero,39.0,one,19.0,zero_zero_zero_zero_zero
,1.0,zero,21.0,zero,three,59.0,one,18.0,zero_zero_zero_one_one
,,one,18.0,zero,zero,34.0,one,28.0,
zero,,two,,zero,one,65.0,one,51.0,zero_one_zero_one_zero
,2.0,one,31.0,zero,one,,,2.0,
one,2.0,zero,33.0,zero,three,44.0,one,43.0,zero_zero_one_zero_one
zero,4.0,three,23.0,zero,one,43.0,one,,
one,,zero,47.0,zero,zero,,,14.0,zero_one_zero_one_zero
one,,zero,14.0,,one,,one,24.0,
,5.0,four,,zero,zero,44.0,one,1.0,
,,two,36.0,,zero,20.0,,,
zero,0.0,,22.0,,zero,39.0,one,,
,7.0,six,32.0,zero,zero,47.0,one,42.0,zero_zero_zero_one_zero
zero,8.0,seven,38.0,zero,zero,,,,zero_zero_zero_one_zero
zero,3.0,zero,11.0,zero,one,39.0,,,zero_zero_zero_zero_zero
zero,3.0,two,20.0,,zero,,one,8.0,one_zero_zero_one_zero
zero,5.0,,25.0,zero,zero,29.0,one,20.0,zero_zero_zero_one_zero
zero,2.0,,17.0,,zero,39.0,one,1.0,one_zero_zero_one_zero
zero,10.0,nine,22.0,zero,zero,39.0,,,zero_zero_zero_one_zero
zero,3.0,two,,zero,zero,27.0,one,21.0,
zero,3.0,zero,10.0,zero,one,39.0,one,4.0,
zero,1.0,zero,24.0,zero,zero,,one,,zero_zero_zero_zero_zero
two,3.0,zero,,,two,47.0,one,30.0,
zero,2.0,one,15.0,zero,two,43.0,one,23.0,
zero,2.0,,20.0,zero,two,47.0,one,,
zero,5.0,four,34.0,zero,three,,,,zero_zero_zero_one_one
one,3.0,zero,30.0,zero,one,43.0,one,40.0,
zero,1.0,zero,45.0,zero,zero,19.0,,,
,,one,46.0,zero,,44.0,one,46.0,
,2.0,,17.0,zero,one,59.0,one,27.0,
one,0.0,zero,,zero,,43.0,one,35.0,
zero,2.0,one,,zero,,59.0,one,,
zero,4.0,three,41.0,zero,zero,35.0,one,,one_zero_zero_one_zero
zero,4.0,,28.0,zero,zero,59.0,one,20.0,
zero,1.0,,46.0,zero,zero,,one,,one_zero_zero_one_zero
one,2.0,one,35.0,zero,one,47.0,one,14.0,
one,,three,33.0,zero,two,,one,43.0,
one,,zero,53.0,zero,,,one,,
two,3.0,,,zero,three,59.0,,2.0,zero_zero_zero_one_one
zero,1.0,,,zero,two,43.0,one,3.0,
one,0.0,zero,29.0,zero,,,one,17.0,one_zero_one_zero_one
zero,7.0,seven,26.0,zero,zero,19.0,,,zero_one_one_zero_zero
zero,4.0,zero,8.0,zero,one,41.0,one,,zero_one_zero_one_zero
,2.0,one,16.0,zero,one,43.0,one,1.0,one_zero_zero_one_zero
zero,1.0,,20.0,,two,41.0,one,,
two,4.0,three,,zero,zero,69.0,,48.0,zero_one_zero_one_one
zero,2.0,two,,zero,zero,47.0,,,
one,,three,26.0,zero,zero,,,5.0,
zero,1.0,,19.0,zero,zero,39.0,one,27.0,
,,zero,31.0,zero,three,31.0,one,,
one,2.0,one,,,zero,76.0,one,46.0,
zero,7.0,two,41.0,zero,zero,59.0,,51.0,
zero,2.0,,25.0,zero,zero,59.0,one,35.0,
,2.0,one,21.0,zero,,,one,31.0,
zero,1.0,zero,35.0,zero,zero,39.0,one,,zero_zero_zero_one_zero
zero,4.0,three,32.0,zero,zero,34.0,one,42.0,
zero,2.0,one,16.0,zero,one,53.0,one,18.0,zero_zero_zero_one_one
zero,7.0,zero,1.0,zero,zero,,one,11.0,zero_zero_zero_zero_zero
zero,1.0,zero,23.0,,zero,39.0,one,32.0,
one,4.0,three,26.0,zero,,,one,30.0,
zero,5.0,,46.0,zero,one,,one,,one_zero_zero_one_one
zero,1.0,zero,34.0,zero,zero,47.0,zero,10.0,
zero,1.0,zero,28.0,zero,one,59.0,one,10.0,zero_zero_zero_one_zero
,4.0,zero,24.0,,zero,51.0,one,,one_zero_zero_zero_zero
zero,5.0,three,31.0,zero,two,39.0,one,32.0,
zero,6.0,five,37.0,zero,zero,29.0,,47.0,
zero,1.0,zero,31.0,zero,two,23.0,one,41.0,zero_zero_zero_one_one
zero,3.0,,27.0,zero,zero,41.0,,,
,2.0,one,52.0,,zero,69.0,one,48.0,
zero,14.0,five,53.0,zero,zero,59.0,one,,
zero,2.0,two,34.0,zero,,55.0,one,43.0,
zero,2.0,,,zero,zero,,one,,one_zero_zero_one_zero
one,1.0,zero,20.0,zero,,,one,12.0,
,4.0,,,zero,,,one,,
,,two,28.0,zero,two,,one,38.0,
one,3.0,two,,zero,,47.0,,7.0,
one,,one,,zero,,,one,40.0,
zero,2.0,,53.0,zero,zero,34.0,zero,22.0,one_zero_zero_one_one
one,4.0,zero,11.0,zero,zero,,one,21.0,one_one_zero_zero_zero
,4.0,three,29.0,zero,zero,55.0,one,39.0,zero_zero_zero_one_zero
zero,7.0,,40.0,,zero,47.0,,50.0,
two,3.0,two,19.0,zero,three,39.0,one,,
one,,zero,13.0,zero,,39.0,one,1.0,
zero,2.0,one,,zero,one,47.0,one,21.0,
one,,two,18.0,zero,,35.0,one,28.0,zero_zero_zero_one_zero
two,3.0,two,38.0,zero,one,39.0,one,40.0,
one,3.0,two,25.0,zero,,59.0,one,29.0,
one,,zero,,,zero,,,12.0,
,3.0,two,36.0,zero,zero,14.0,,,zero_one_zero_one_zero
one,,three,28.0,zero,,49.0,,8.0,
zero,6.0,,22.0,zero,zero,43.0,one,,
two,,zero,25.0,zero,three,39.0,one,6.0,
zero,,two,17.0,zero,zero,8.0,zero,,
one,,three,23.0,zero,,34.0,one,20.0,
zero,4.0,two,39.0,,zero,49.0,one,,zero_zero_zero_one_zero
zero,,zero,7.0,zero,one,27.0,one,11.0,zero_zero_zero_zero_zero
