a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
zero,zero,,one,17,,zero,,zero,one,43,one,8,zero
zero,one,,,33,,zero,one,,one,48,one,9,one
one,zero,1,,52,zero,zero,,zero,zero,49,one,40,zero
one,zero,3,two,28,zero,zero,,,one,55,one,,zero
zero,one,,,41,,zero,one,zero,zero,71,one,51,zero
one,zero,,,23,,zero,,zero,zero,39,one,10,zero
zero,zero,3,two,35,zero,,,zero,zero,39,one,,zero
zero,one,,,52,,one,zero,,three,59,one,62,one
zero,zero,,,30,one,one,zero,zero,one,39,one,,zero
zero,one,,,45,,zero,one,zero,one,55,one,55,one
one,one,,zero,26,,zero,zero,zero,three,59,one,1,one
zero,one,,,46,zero,zero,one,,three,39,one,12,one
one,zero,6,,10,one,zero,,,zero,47,one,,zero
zero,zero,4,,47,one,,one,zero,zero,47,one,,zero
zero,one,,,24,,zero,one,zero,one,47,one,,zero
zero,one,1,,44,zero,zero,,,two,39,one,54,one
zero,zero,,one,11,zero,zero,one,zero,one,39,one,,zero
one,zero,4,zero,16,zero,zero,zero,zero,zero,47,one,,zero
zero,zero,,zero,8,zero,zero,zero,zero,one,59,one,18,zero
zero,zero,,zero,7,zero,zero,,zero,one,34,one,,zero
one,zero,3,zero,13,zero,zero,,,zero,49,one,23,zero
one,zero,2,two,14,one,,,,zero,39,one,10,zero
one,zero,1,zero,15,zero,,one,zero,zero,55,one,,zero
one,one,,,21,zero,zero,,,one,54,one,27,one
zero,zero,3,one,30,one,zero,one,zero,zero,94,one,40,one
zero,one,,zero,15,zero,zero,zero,,one,47,one,24,zero
one,one,3,,18,,,one,,zero,47,one,4,zero
one,zero,3,,17,one,zero,one,,zero,39,one,,zero
one,one,0,zero,47,one,,zero,,three,39,one,4,one
zero,one,3,,26,one,zero,one,zero,one,39,one,30,zero
zero,one,3,two,47,,,one,,zero,39,one,30,zero
zero,zero,8,,42,one,zero,zero,zero,zero,39,one,,zero
one,zero,,four,29,one,zero,one,zero,one,55,one,3,one
zero,zero,1,zero,16,,,zero,zero,zero,47,one,26,zero
zero,zero,1,zero,52,zero,,,,zero,47,one,,zero
zero,zero,,,28,one,zero,one,zero,two,39,one,38,one
one,zero,1,one,70,one,one,,zero,zero,19,zero,,zero
zero,zero,2,,22,one,,,zero,one,39,one,20,zero
zero,zero,,,32,one,zero,zero,zero,one,43,one,,zero
one,two,3,two,38,one,zero,one,zero,two,43,one,44,zero
zero,zero,2,,45,,,,zero,two,39,one,16,one
zero,zero,3,zero,24,one,,,zero,two,39,one,14,zero
zero,zero,6,zero,39,one,,zero,,two,9,one,49,zero
zero,one,,,24,,zero,one,,one,47,one,5,one
zero,one,,,29,,zero,one,zero,one,29,one,39,one
zero,one,2,one,32,,,one,,zero,69,one,,zero
zero,zero,2,,40,,,zero,,zero,39,one,,zero
zero,zero,4,three,55,one,,one,zero,zero,14,zero,65,zero
zero,two,4,three,31,zero,zero,one,zero,two,77,one,35,one
one,zero,,three,19,one,zero,one,zero,zero,29,one,2,zero
one,zero,,zero,12,,zero,one,zero,one,65,one,,zero
zero,zero,5,zero,8,,,,zero,zero,71,one,,zero
one,zero,,three,35,zero,zero,,zero,one,64,one,,zero
zero,one,2,two,44,,one,zero,zero,zero,44,one,54,zero
one,one,3,two,19,,zero,one,,three,22,one,,one
zero,two,4,zero,12,zero,zero,zero,zero,two,44,one,22,zero
zero,four,5,,18,,zero,zero,,three,63,one,12,one
zero,zero,5,two,48,zero,,,zero,zero,39,one,21,zero
zero,zero,2,one,15,,zero,one,zero,two,43,one,,zero
zero,zero,3,two,37,zero,,,zero,zero,59,one,47,zero
zero,one,11,nine,37,,zero,one,zero,zero,29,one,12,zero
zero,zero,,one,14,zero,,one,zero,one,47,one,,zero
zero,zero,3,two,22,one,zero,,,one,3,one,,zero
one,zero,,one,12,one,zero,,zero,zero,47,one,21,zero
zero,one,4,zero,44,,zero,zero,,zero,39,one,,one
one,one,3,two,36,,zero,,,zero,17,one,30,zero
zero,zero,,three,18,zero,zero,one,zero,two,39,one,,zero
zero,zero,2,one,27,zero,zero,,,zero,43,one,35,zero
one,zero,2,zero,12,one,,zero,zero,two,29,one,21,one
zero,zero,3,two,36,,zero,one,zero,zero,39,one,,zero
zero,two,,one,21,,zero,one,,three,53,one,31,one
zero,zero,3,two,30,zero,zero,one,zero,one,9,one,40,one
one,one,2,,23,,zero,one,,two,24,one,33,zero
zero,zero,2,one,19,zero,zero,,zero,zero,47,one,27,zero
zero,one,,,31,zero,zero,one,zero,one,69,one,41,zero
zero,zero,3,zero,11,zero,zero,one,zero,zero,47,one,21,zero
one,zero,0,zero,35,zero,zero,,,zero,59,one,3,zero
one,four,,,40,zero,zero,one,zero,one,39,one,17,one
zero,zero,,three,61,,,one,zero,zero,24,one,,zero
one,zero,,zero,22,one,one,,,one,59,one,,zero
zero,one,,,13,,zero,zero,,three,39,one,20,one
zero,zero,,one,25,zero,,,zero,one,47,one,28,zero
zero,zero,2,,40,zero,,,zero,zero,39,one,,zero
one,zero,5,,10,,,,zero,zero,11,one,,zero
one,zero,1,zero,28,one,zero,,zero,zero,39,one,5,zero
zero,zero,,six,37,zero,zero,,zero,zero,39,one,28,zero
zero,zero,2,zero,13,zero,,zero,zero,zero,47,one,,zero
one,two,,zero,12,one,zero,,zero,zero,59,one,1,zero
zero,one,,,36,zero,zero,one,,three,39,one,29,one
zero,one,2,one,38,,,zero,zero,zero,83,one,27,zero
zero,one,6,,10,zero,zero,,zero,zero,43,one,,zero
zero,one,,,20,one,,one,,one,47,one,30,zero
zero,zero,5,five,30,,,zero,zero,zero,55,zero,40,zero
one,two,3,,36,zero,zero,,,three,39,one,25,one
zero,two,4,,30,,,,zero,zero,41,one,,zero
zero,one,3,,22,one,,one,zero,one,39,one,24,zero
one,zero,3,two,17,zero,zero,,zero,one,47,one,,zero
zero,one,,zero,27,zero,zero,one,,two,29,one,37,one
zero,zero,5,zero,13,one,,zero,zero,two,43,one,20,zero
one,one,3,,37,,zero,one,,three,23,one,0,one
one,zero,,one,30,zero,zero,one,,two,97,one,40,zero
one,one,,,18,zero,,zero,,three,49,one,28,one
zero,zero,3,,33,zero,,,zero,zero,53,one,12,zero
zero,zero,,two,18,,zero,one,,one,29,one,8,zero
zero,one,,,49,,zero,one,,zero,47,one,59,one
zero,one,4,zero,8,,zero,zero,,zero,47,one,18,zero
zero,one,,,17,,zero,one,,one,43,one,24,zero
one,zero,,two,31,zero,zero,one,zero,one,49,one,12,one
one,one,1,,22,,zero,one,,zero,47,one,12,zero
one,zero,7,zero,4,one,zero,,zero,zero,19,one,,zero
one,zero,5,four,30,zero,zero,,,zero,47,one,,one
one,one,0,zero,33,zero,one,,,zero,47,one,8,one
one,zero,2,two,25,,,,zero,zero,49,one,,zero
zero,one,,,42,zero,zero,one,,one,49,one,52,zero
one,zero,0,zero,28,zero,,,,zero,41,one,6,zero
zero,one,7,zero,12,,,zero,zero,zero,44,one,6,zero
zero,one,,,28,zero,zero,,,two,47,one,38,one
zero,zero,4,three,35,zero,zero,one,zero,zero,83,one,,zero
zero,zero,7,zero,15,,zero,,zero,zero,39,one,,zero
zero,zero,0,zero,30,zero,zero,,zero,zero,39,one,,zero
zero,one,4,,24,,,one,,zero,64,one,20,zero
zero,one,,,23,zero,zero,zero,,one,59,one,30,zero
zero,one,3,,27,,zero,one,zero,two,35,one,,one
zero,one,4,,40,,,,zero,zero,44,one,30,one
one,one,,,37,,,zero,,zero,41,one,,zero
one,zero,,one,16,zero,zero,,zero,one,45,one,26,zero
zero,zero,0,zero,23,zero,one,zero,,zero,59,one,8,zero
zero,zero,2,one,23,zero,,,zero,zero,41,one,33,zero
zero,zero,3,two,37,,,one,zero,zero,44,one,7,zero
zero,zero,3,two,33,one,one,zero,zero,one,23,zero,30,zero
zero,one,1,,47,zero,zero,one,,zero,19,one,10,zero
zero,one,,one,19,zero,zero,one,,one,59,one,29,zero
one,zero,,zero,1,zero,zero,,,zero,39,one,,zero
zero,two,2,zero,39,zero,,,zero,two,71,one,,one
zero,zero,,,39,zero,zero,one,zero,three,89,one,49,one
zero,one,2,one,52,,zero,one,,zero,83,one,43,one
zero,two,3,two,42,zero,,one,,two,19,one,,one
zero,one,2,one,32,,zero,one,zero,zero,39,one,39,zero
zero,zero,,three,43,,,one,zero,zero,39,one,,zero
zero,zero,,,8,one,zero,zero,,one,44,one,8,zero
one,two,,zero,9,one,zero,zero,,one,49,one,,zero
one,one,,,20,one,zero,one,,three,43,one,2,one
zero,zero,3,,10,zero,zero,zero,zero,one,19,one,20,zero
zero,zero,5,three,46,zero,,zero,,zero,49,zero,,zero
zero,one,,,28,,zero,one,,two,39,one,38,zero
one,two,,zero,24,zero,one,zero,,one,43,one,34,one
zero,two,5,,28,one,,,zero,two,43,one,,one
one,zero,2,one,14,,,,zero,zero,44,one,24,zero
zero,one,2,,43,,,zero,,two,29,one,53,one
one,zero,2,one,18,,,one,zero,zero,43,one,28,zero
zero,zero,3,two,18,zero,,,zero,zero,43,one,12,zero
zero,two,3,two,29,zero,zero,one,,one,49,one,33,one
one,zero,,one,22,one,zero,,zero,two,19,one,20,zero
zero,zero,3,,35,,,,zero,zero,29,one,,zero
zero,zero,,,24,one,zero,,,one,39,one,,zero
zero,one,,zero,23,one,,zero,,three,39,one,,zero
zero,zero,,zero,27,zero,one,zero,,one,69,one,20,zero
zero,one,,,17,,zero,one,,two,69,one,,zero
zero,zero,2,,33,one,,zero,zero,three,39,one,34,one
zero,one,,two,35,,zero,,,zero,49,one,45,zero
one,zero,,one,23,zero,zero,one,zero,zero,44,one,26,zero
zero,one,,zero,28,zero,,zero,zero,zero,49,one,38,zero
one,zero,,zero,17,zero,zero,zero,zero,one,41,one,9,one
zero,one,8,,14,,zero,zero,,two,39,one,,zero
one,zero,8,four,19,zero,,one,zero,zero,45,one,,one
zero,zero,3,zero,24,zero,zero,zero,zero,three,59,one,34,one
zero,one,7,,37,,zero,one,,two,49,zero,22,one
zero,zero,3,,27,,,,zero,zero,47,one,,zero
one,one,,,35,,zero,one,,one,69,one,24,one
zero,zero,1,zero,27,one,,one,zero,two,24,one,,zero
zero,zero,5,,16,one,zero,,zero,zero,44,one,,zero
zero,zero,3,,37,zero,,one,zero,two,49,one,22,zero
zero,zero,,two,15,,zero,one,zero,zero,69,one,,zero
zero,zero,,,38,,,one,zero,zero,71,one,,zero
zero,two,,,53,,zero,one,zero,one,59,one,43,one
zero,one,3,,48,,zero,one,,one,55,one,7,one
zero,zero,3,two,21,,,one,zero,zero,39,one,,one
zero,zero,,one,47,one,zero,,,one,39,one,,one
zero,zero,4,zero,24,zero,,zero,,zero,49,one,25,zero
zero,zero,2,one,34,one,,one,zero,two,35,one,,zero
zero,zero,,one,52,one,one,zero,zero,one,5,zero,,zero
one,one,2,zero,20,,zero,one,zero,two,43,one,,one
zero,zero,3,two,18,one,,,zero,zero,50,one,28,zero
one,zero,1,one,34,one,,zero,zero,zero,29,one,44,zero
zero,one,,,42,,one,zero,,three,39,one,30,one
zero,zero,4,three,37,,,,zero,zero,55,one,40,one
zero,one,2,one,38,,zero,one,,two,59,one,18,zero
zero,zero,3,two,24,zero,zero,,zero,zero,83,one,,zero
zero,zero,,,19,zero,zero,one,zero,one,81,one,,zero
zero,one,,zero,22,,zero,zero,,one,39,one,32,zero
zero,one,,,32,one,zero,zero,zero,three,49,one,42,one
zero,zero,,two,27,zero,zero,one,,one,59,one,30,one
zero,zero,3,two,36,,,one,zero,zero,49,one,,zero
one,zero,,one,46,,,zero,zero,zero,39,one,,zero
zero,zero,4,zero,18,one,zero,one,zero,two,19,one,8,one
zero,zero,5,,9,one,zero,zero,zero,one,44,one,10,zero
zero,zero,3,zero,8,zero,zero,zero,zero,one,47,one,,zero
zero,three,,,41,,zero,one,,two,49,one,51,one
zero,zero,4,zero,13,one,,zero,,zero,47,one,23,zero
one,one,3,two,15,,zero,one,zero,zero,43,one,5,zero
one,one,7,zero,2,zero,,zero,zero,zero,43,one,12,zero
zero,zero,,zero,14,zero,,,zero,two,39,one,24,zero
zero,one,,,22,,zero,one,,two,24,one,32,one
one,zero,11,one,12,one,,,zero,zero,47,one,,zero
zero,zero,,,30,zero,zero,,,one,49,one,,one
one,zero,0,zero,20,one,zero,,zero,zero,47,one,4,one
zero,one,,,13,,zero,one,,one,35,one,23,one
one,zero,6,five,32,one,,,zero,zero,24,one,42,zero
zero,zero,2,two,40,zero,,zero,zero,zero,44,one,,zero
zero,one,3,two,14,,zero,,zero,one,53,one,24,one
zero,zero,4,,53,zero,zero,one,zero,zero,27,one,63,zero
zero,zero,1,zero,57,zero,zero,,,zero,29,one,,zero
zero,zero,6,zero,5,zero,zero,zero,zero,zero,47,one,,zero
zero,zero,,zero,21,zero,,,zero,two,44,one,30,zero
zero,two,2,one,40,zero,,one,,zero,47,zero,,one
zero,zero,,,11,zero,,zero,zero,one,59,one,21,zero
zero,zero,,,23,zero,zero,,zero,two,43,one,,zero
one,zero,3,two,19,zero,,one,zero,two,47,one,,one
zero,one,3,,22,,zero,,,two,39,one,32,zero
zero,zero,0,,30,one,one,,zero,two,55,one,40,zero
zero,one,3,two,19,one,,one,,two,39,one,7,zero
zero,three,,,26,zero,zero,zero,zero,three,44,one,30,one
zero,zero,2,one,27,,zero,one,zero,zero,39,one,,zero
one,zero,1,zero,16,zero,zero,,zero,zero,43,one,,zero
zero,zero,2,,25,,zero,,zero,zero,47,one,35,zero
zero,zero,2,one,15,zero,,one,zero,two,71,one,,one
zero,two,,,11,one,zero,,zero,one,47,one,,zero
one,one,,,33,zero,,one,,two,39,one,21,one
zero,one,5,three,35,,zero,,,zero,44,one,,one
zero,zero,3,two,27,zero,zero,,zero,one,47,one,6,zero
zero,one,2,one,55,,zero,one,zero,zero,39,one,52,zero
zero,zero,,zero,37,,zero,,zero,two,36,one,47,one
one,zero,4,three,26,zero,,,zero,zero,39,one,12,zero
zero,one,,,46,zero,zero,one,zero,two,39,one,56,one
zero,zero,3,two,22,one,,,zero,zero,47,one,,zero
zero,zero,2,one,36,,,,zero,zero,47,one,,zero
zero,zero,2,one,18,one,zero,one,,one,19,one,28,zero
zero,one,4,,15,one,zero,,,two,19,one,20,zero
zero,one,3,two,36,,zero,one,,zero,47,one,25,zero
one,zero,,two,27,one,zero,,zero,one,17,one,21,zero
zero,zero,4,three,38,zero,,,zero,zero,29,one,48,zero
zero,two,,,37,one,zero,one,,three,29,one,31,one
one,zero,,,33,one,zero,one,zero,one,39,one,30,zero
zero,two,,zero,14,one,zero,zero,zero,one,69,one,24,zero
one,zero,,zero,12,zero,zero,zero,,one,47,zero,,zero
zero,one,3,,41,,,one,,two,39,one,39,zero
one,zero,3,two,26,one,zero,,zero,zero,47,one,,zero
one,one,2,,31,,zero,one,zero,two,39,one,28,one
zero,two,4,three,31,zero,zero,,zero,zero,95,one,,one
one,one,7,,7,,zero,,,zero,39,one,,zero
zero,zero,,,11,,zero,one,zero,one,47,one,10,zero
zero,zero,,zero,20,one,one,zero,zero,zero,59,one,30,zero
zero,zero,,zero,8,,zero,,zero,one,39,one,14,zero
zero,zero,4,three,34,zero,,one,zero,zero,19,one,,zero
zero,two,2,one,28,,zero,one,zero,two,43,one,13,one
zero,two,11,three,16,zero,zero,,,one,23,one,26,zero
one,zero,7,six,32,zero,zero,one,zero,zero,39,one,,zero
zero,zero,,zero,9,zero,zero,zero,zero,one,35,one,19,zero
zero,zero,2,one,29,zero,,one,zero,zero,47,one,,zero
zero,two,1,zero,49,zero,,one,zero,two,39,one,59,one
zero,zero,,two,34,zero,zero,,zero,one,47,one,44,one
zero,one,2,one,36,,zero,one,zero,zero,43,one,20,one
zero,zero,5,four,26,zero,zero,,zero,zero,69,one,,zero
one,one,,,33,zero,zero,,,two,39,one,43,one
zero,zero,5,four,34,zero,zero,,zero,one,69,one,44,zero
one,zero,2,one,18,zero,,,zero,zero,43,one,,zero
zero,one,3,,28,zero,zero,one,,one,59,one,38,one
one,zero,5,three,19,zero,,,zero,zero,39,one,28,zero
zero,zero,,,57,zero,,,,zero,59,one,,zero
zero,one,3,,23,,,,,two,65,one,,one
zero,zero,2,one,23,zero,,,zero,zero,65,one,6,zero
zero,zero,,,17,zero,,zero,zero,one,43,one,25,one
zero,zero,,,18,zero,zero,one,zero,one,39,one,21,zero
zero,zero,,one,27,,,one,zero,zero,39,one,,zero
zero,one,3,,33,one,one,zero,zero,one,43,one,30,one
one,zero,3,two,15,,zero,,zero,zero,83,one,25,zero
one,one,,,24,,zero,one,,one,59,zero,,zero
one,zero,,zero,31,zero,zero,,,one,43,one,,zero
one,zero,1,zero,28,zero,one,zero,,two,47,one,,one
zero,zero,3,,37,,,,zero,zero,49,one,12,zero
zero,one,,,29,zero,zero,one,,one,43,one,4,one
zero,zero,1,zero,53,one,,,zero,zero,5,one,,zero
zero,two,3,two,51,,zero,one,zero,zero,95,one,,one
one,zero,,,8,one,zero,,zero,one,47,one,,zero
zero,zero,,zero,56,,,one,zero,zero,34,one,,one
one,zero,,zero,57,zero,zero,,zero,two,39,one,,one
zero,one,4,three,40,,zero,one,,zero,43,one,31,one
zero,zero,5,,44,zero,zero,,zero,one,64,one,53,one
zero,zero,,two,47,zero,zero,one,,one,20,one,57,zero
one,one,2,,11,one,zero,zero,,two,47,one,21,zero
zero,zero,11,zero,10,one,zero,zero,zero,zero,83,one,18,zero
one,zero,6,five,26,zero,zero,,,zero,47,one,,zero
one,zero,,,14,one,zero,one,zero,one,39,one,9,zero
one,zero,2,one,18,zero,zero,one,zero,zero,47,one,,zero
zero,three,3,,7,zero,zero,zero,zero,one,49,one,,zero
zero,zero,5,four,28,one,,one,zero,one,39,one,38,zero
one,zero,2,one,25,,zero,,zero,two,41,one,35,one
zero,zero,4,three,18,zero,,one,zero,zero,59,one,27,one
zero,zero,2,two,35,one,,zero,zero,zero,54,one,45,zero
zero,three,3,,40,one,zero,one,one,one,53,one,45,one
zero,zero,10,zero,13,zero,,zero,zero,zero,39,one,23,zero
zero,zero,4,,22,one,zero,one,zero,three,49,one,8,one
one,one,3,,38,,zero,one,,zero,44,one,48,zero
zero,zero,,zero,6,,zero,zero,zero,one,47,one,,zero
zero,zero,3,zero,13,,zero,zero,zero,zero,39,one,,zero
zero,one,1,zero,21,zero,zero,one,,three,59,one,18,one
zero,zero,,one,18,zero,zero,,zero,zero,34,one,28,zero
zero,zero,3,,51,one,zero,one,,one,65,one,,zero
zero,zero,2,one,31,one,zero,,zero,one,59,one,,zero
zero,one,2,,33,,one,zero,zero,three,44,one,43,one
zero,zero,,,23,one,zero,one,zero,one,43,one,20,zero
zero,one,2,,47,,zero,one,,zero,47,one,14,zero
zero,one,,,14,zero,one,zero,,one,47,one,24,one
one,one,5,four,20,,zero,one,,zero,44,one,1,one
zero,zero,3,two,36,one,zero,one,zero,zero,20,zero,,zero
one,zero,,zero,22,zero,,,zero,zero,39,one,,zero
zero,zero,7,six,32,,zero,one,zero,zero,47,one,42,zero
zero,zero,,,38,zero,zero,one,zero,zero,39,one,35,zero
zero,zero,,,11,zero,zero,,zero,one,39,one,21,zero
one,zero,3,two,20,zero,zero,,zero,zero,49,one,8,zero
zero,zero,5,four,25,zero,,,zero,zero,29,one,20,zero
one,zero,,one,17,zero,zero,,zero,zero,39,one,1,zero
zero,zero,10,nine,22,,,,,zero,39,one,32,zero
one,zero,,two,11,,zero,,zero,zero,27,one,21,zero
one,zero,3,zero,10,zero,zero,zero,zero,one,39,one,,zero
zero,zero,,,24,,,zero,,zero,24,one,34,zero
zero,two,,,20,,,zero,,two,47,one,30,zero
zero,zero,2,,15,one,zero,,zero,two,43,one,23,zero
one,zero,2,one,20,zero,zero,one,zero,two,47,one,,one
zero,zero,,four,34,zero,zero,one,zero,three,39,zero,20,one
zero,one,3,,30,,zero,one,,one,43,one,,zero
zero,zero,1,zero,45,one,,,zero,zero,19,one,,zero
zero,one,3,,46,one,one,zero,,one,44,one,46,zero
zero,zero,,,17,zero,zero,one,zero,one,59,one,27,one
one,one,,,25,one,zero,zero,,three,43,one,35,one
one,zero,2,one,46,zero,,,,zero,59,one,,zero
one,zero,4,three,41,zero,,,zero,zero,35,one,,zero
zero,zero,4,three,28,,,,zero,zero,59,one,20,zero
one,zero,1,zero,46,zero,zero,one,zero,zero,46,one,,zero
one,one,2,,35,one,zero,one,,one,47,one,14,one
zero,one,4,,33,,zero,one,zero,two,39,one,,one
zero,one,1,,53,zero,,one,zero,zero,39,one,31,zero
zero,two,3,,28,zero,,one,,three,59,one,,one
one,zero,1,,10,zero,zero,,zero,two,43,one,,zero
one,one,0,zero,29,zero,one,zero,,zero,34,one,17,one
zero,zero,7,seven,26,one,,zero,zero,zero,19,zero,,zero
zero,zero,,zero,8,one,zero,,,one,41,one,1,zero
one,zero,,,16,zero,,,zero,one,43,one,,zero
one,zero,,zero,20,,zero,,,two,41,one,,zero
zero,two,4,three,38,,,one,,zero,69,one,48,one
zero,zero,2,two,41,,,zero,zero,zero,47,zero,43,zero
one,one,4,,26,,zero,one,zero,zero,59,one,5,zero
zero,zero,1,zero,19,,,,zero,zero,39,one,27,zero
zero,one,1,zero,31,,zero,one,,three,31,one,15,one
zero,one,2,,37,zero,zero,one,zero,zero,76,one,46,one
zero,zero,7,two,41,zero,,one,,zero,59,one,,zero
one,zero,2,zero,25,zero,zero,,,zero,59,one,35,zero
one,one,2,,21,zero,,one,,two,49,one,31,one
zero,zero,1,zero,35,,,,,zero,39,one,45,zero
one,zero,4,three,32,,zero,,,zero,34,one,,zero
zero,zero,,,16,zero,zero,one,zero,one,53,one,18,one
zero,zero,7,zero,1,,,,zero,zero,24,one,11,zero
zero,zero,1,zero,23,zero,,one,zero,zero,39,one,32,zero
zero,one,4,,26,,zero,,,zero,47,one,30,zero
one,zero,,four,46,zero,zero,,zero,one,41,one,,one
zero,zero,,zero,34,,,one,zero,zero,47,zero,10,zero
zero,zero,,zero,28,zero,zero,,zero,one,59,one,10,zero
one,zero,,zero,24,,zero,,zero,zero,51,one,,zero
zero,zero,5,,31,zero,zero,,zero,two,39,one,32,one
zero,zero,6,five,37,one,,one,zero,zero,29,one,47,zero
zero,zero,1,zero,31,zero,zero,one,zero,two,23,one,41,one
zero,zero,3,two,27,,,one,zero,zero,41,one,,zero
zero,zero,2,one,52,,,one,zero,zero,69,one,,zero
zero,zero,14,five,53,,zero,one,,zero,59,one,,zero
zero,zero,2,two,34,one,,zero,,zero,55,one,43,zero
one,zero,2,one,11,zero,zero,one,,zero,39,one,21,zero
zero,one,1,,20,,zero,one,,two,39,one,12,one
zero,zero,4,,4,zero,,zero,zero,zero,59,one,,zero
zero,one,3,,28,zero,zero,one,,two,43,one,38,one
zero,one,3,,17,one,,one,zero,two,47,one,7,one
zero,one,2,,30,one,,one,zero,two,39,one,40,zero
one,zero,,one,53,zero,zero,,zero,zero,34,zero,,one
one,one,,,11,one,zero,zero,zero,zero,57,one,21,zero
zero,zero,4,three,29,zero,,one,zero,zero,55,one,,zero
zero,zero,7,one,40,,zero,,zero,zero,47,one,,zero
zero,two,3,two,19,,zero,,zero,three,39,one,,zero
one,one,1,,13,,zero,one,,two,39,one,1,one
zero,zero,2,,11,zero,zero,one,,one,47,one,21,zero
zero,one,3,,18,zero,zero,one,zero,one,35,one,28,zero
zero,two,3,two,38,zero,zero,one,,one,39,one,40,one
zero,one,,,25,zero,zero,,,one,59,one,29,zero
zero,one,1,zero,54,,zero,,,zero,41,one,12,zero
zero,zero,3,two,36,one,zero,,zero,zero,14,one,46,zero
one,one,,,28,zero,zero,one,zero,zero,49,one,8,zero
zero,zero,6,five,22,zero,zero,,zero,zero,43,one,32,zero
one,two,,,25,zero,zero,one,,three,39,one,6,one
zero,zero,3,two,17,one,,,zero,zero,8,zero,,zero
zero,one,,,23,one,zero,one,,one,34,one,20,one
zero,zero,4,,39,,,,zero,zero,49,one,28,zero
zero,zero,,zero,7,,zero,,zero,one,27,one,11,zero
