a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
,0.0,zero,6.0,zero,one,47,one,0,
,,zero,34.0,zero,zero,97,one,22,one_zero_zero_zero_zero
zero,5.0,four,18.0,zero,one,35,,20,
,9.0,zero,,,two,29,one,5,
zero,2.0,one,,,zero,55,,23,zero_zero_zero_one_zero
,4.0,three,,zero,three,3,,56,zero_zero_zero_one_one
,,zero,8.0,,one,5,one,18,zero_zero_zero_zero_zero
two,4.0,three,,zero,three,59,one,42,
zero,,zero,17.0,,one,47,one,20,zero_zero_zero_zero_zero
one,7.0,zero,,zero,two,23,one,12,
,2.0,one,17.0,,one,47,,2,one_one_one_zero_zero
zero,5.0,two,51.0,zero,zero,29,one,3,one_zero_zero_one_zero
zero,2.0,one,36.0,,one,49,one,30,one_one_zero_one_zero
one,3.0,two,31.0,zero,two,59,,1,one_zero_zero_one_one
,1.0,zero,37.0,,two,49,one,13,zero_zero_zero_one_one
zero,3.0,one,58.0,,zero,78,,14,one_zero_zero_one_zero
zero,2.0,one,,zero,zero,39,one,41,zero_zero_zero_one_zero
,4.0,zero,,,one,9,one,18,
zero,2.0,one,12.0,zero,zero,24,one,22,zero_zero_zero_one_zero
zero,2.0,one,17.0,,one,43,,8,zero_one_zero_one_zero
,,two,33.0,zero,one,48,one,9,zero_zero_zero_one_one
zero,,zero,52.0,,zero,49,,40,one_zero_zero_one_zero
,,two,,zero,one,55,one,38,one_zero_zero_one_zero
one,4.0,three,41.0,zero,zero,71,one,51,zero_zero_zero_one_zero
zero,5.0,four,,,zero,39,one,10,one_zero_zero_one_zero
zero,3.0,two,,zero,zero,39,one,16,
,1.0,zero,52.0,zero,three,59,one,62,zero_zero_one_zero_one
zero,3.0,three,30.0,zero,one,39,one,40,
,3.0,two,45.0,zero,one,55,one,55,zero_zero_zero_one_one
,,zero,26.0,zero,three,59,one,1,one_zero_zero_zero_one
,,two,,zero,three,39,one,12,
zero,6.0,zero,10.0,zero,zero,47,one,20,one_one_zero_zero_zero
,4.0,one,,zero,zero,47,one,57,zero_one_zero_one_zero
one,3.0,two,24.0,zero,one,47,one,19,
one,1.0,zero,44.0,zero,two,39,,54,
zero,2.0,one,,,one,39,,12,zero_zero_zero_one_zero
zero,4.0,zero,16.0,zero,zero,47,one,1,
zero,2.0,zero,8.0,zero,one,59,one,18,
zero,7.0,zero,7.0,zero,one,34,one,17,
,,zero,,zero,zero,49,one,23,one_zero_zero_zero_zero
,2.0,two,14.0,zero,zero,39,one,10,
,1.0,zero,15.0,zero,zero,55,one,25,one_zero_zero_one_zero
one,3.0,two,21.0,zero,one,54,one,27,
zero,3.0,one,,,zero,94,,40,
,,zero,15.0,,one,47,,24,
one,,two,18.0,,zero,47,one,4,
,,two,,zero,zero,39,one,27,
one,,zero,47.0,zero,three,39,one,4,
one,,two,26.0,,one,39,one,30,
,3.0,two,,zero,zero,39,one,30,zero_zero_zero_one_zero
zero,8.0,eight,,,zero,39,,5,
zero,5.0,four,,,one,55,one,3,one_one_zero_one_one
,1.0,zero,,zero,zero,47,one,26,zero_zero_zero_zero_zero
,,zero,,zero,zero,47,one,38,zero_zero_zero_one_zero
,3.0,two,,,two,39,one,38,zero_one_zero_one_one
zero,1.0,one,,zero,zero,19,zero,80,one_one_one_zero_zero
zero,2.0,two,22.0,zero,one,39,one,20,
zero,,two,32.0,zero,one,43,one,30,zero_one_zero_zero_zero
,3.0,two,,zero,two,43,one,44,one_one_zero_one_zero
zero,2.0,one,45.0,zero,two,39,,16,
zero,3.0,zero,24.0,zero,two,39,one,14,
,6.0,zero,39.0,zero,two,9,,49,
,5.0,three,24.0,zero,one,47,,5,zero_zero_zero_one_one
one,2.0,one,29.0,,one,29,one,39,zero_zero_zero_one_one
one,2.0,one,,zero,zero,69,,17,zero_one_zero_one_zero
zero,2.0,zero,,zero,zero,39,one,50,
,4.0,three,55.0,,zero,14,zero,65,
two,4.0,three,31.0,,two,77,,35,
zero,4.0,three,19.0,zero,zero,29,one,2,
,1.0,zero,12.0,zero,one,65,one,22,one_zero_zero_one_zero
zero,,zero,,zero,zero,71,,18,zero_zero_zero_zero_zero
,,three,35.0,zero,one,64,,45,
one,,two,,zero,zero,44,one,54,
one,,two,19.0,,three,22,one,29,
two,,zero,12.0,zero,two,44,one,22,
,5.0,zero,18.0,zero,three,63,one,12,zero_zero_zero_zero_one
,5.0,two,48.0,zero,zero,39,one,21,zero_zero_zero_one_zero
zero,2.0,one,15.0,,two,43,one,13,
zero,3.0,two,,zero,zero,59,one,47,zero_zero_zero_one_zero
one,11.0,nine,,zero,zero,29,one,12,zero_one_zero_one_zero
zero,2.0,one,,,one,47,one,0,zero_zero_zero_one_zero
,3.0,two,22.0,zero,one,3,one,32,
zero,3.0,one,12.0,zero,zero,47,,21,
one,4.0,zero,44.0,zero,zero,39,,54,zero_one_zero_zero_one
one,,two,36.0,zero,zero,17,one,30,
,4.0,three,18.0,zero,two,39,one,8,zero_zero_zero_one_zero
zero,2.0,one,,,zero,43,,35,
zero,2.0,zero,,zero,two,29,one,21,one_one_zero_zero_one
zero,,two,,,zero,39,one,15,
two,2.0,one,,,three,53,one,31,zero_one_zero_one_one
zero,3.0,two,30.0,,one,9,one,40,zero_zero_zero_one_one
one,2.0,one,23.0,,two,24,,33,
zero,2.0,one,,zero,zero,47,one,27,zero_zero_zero_one_zero
,,two,,zero,one,69,one,41,zero_zero_zero_one_zero
zero,3.0,zero,11.0,zero,zero,47,one,21,
zero,0.0,zero,35.0,zero,zero,59,one,3,
,6.0,three,40.0,,one,39,one,17,
zero,5.0,three,61.0,zero,zero,24,one,45,
,,zero,22.0,,one,59,one,14,
one,4.0,zero,13.0,,three,39,one,20,
zero,2.0,one,,,one,47,one,28,zero_zero_zero_one_zero
zero,2.0,one,40.0,zero,zero,39,one,50,zero_zero_zero_one_zero
,,three,,zero,zero,11,one,20,one_one_zero_zero_zero
,1.0,zero,28.0,zero,zero,39,one,5,
zero,,six,37.0,zero,zero,39,one,28,
zero,,zero,13.0,zero,zero,47,one,21,zero_zero_zero_zero_zero
two,,zero,12.0,zero,zero,59,one,1,
one,3.0,two,36.0,,three,39,one,29,zero_zero_zero_one_one
one,2.0,one,,zero,zero,83,,27,zero_zero_one_zero_zero
,,zero,,zero,zero,43,,19,
one,2.0,one,,zero,one,47,one,30,zero_one_zero_one_zero
zero,,five,30.0,,zero,55,zero,40,zero_one_one_zero_zero
two,3.0,two,36.0,zero,three,39,one,25,
,,zero,30.0,zero,zero,41,one,1,zero_zero_one_zero_zero
one,,two,22.0,,one,39,,24,
zero,,two,17.0,zero,one,47,,19,
one,,zero,27.0,zero,two,29,one,37,
,5.0,zero,13.0,zero,two,43,one,20,
one,,two,37.0,,three,23,,0,one_one_zero_one_one
zero,3.0,one,30.0,zero,two,97,one,40,one_zero_zero_one_zero
,,zero,,,three,49,one,28,one_zero_one_zero_one
zero,3.0,two,33.0,zero,zero,53,one,12,
,3.0,two,18.0,,one,29,one,8,
one,2.0,one,49.0,zero,zero,47,one,59,
,4.0,zero,,zero,zero,47,one,18,zero_zero_zero_zero_zero
,4.0,three,17.0,zero,one,43,one,24,
zero,3.0,two,31.0,,one,49,one,12,one_zero_zero_one_one
one,,zero,22.0,zero,zero,47,one,12,
zero,7.0,zero,4.0,zero,zero,19,one,14,one_one_zero_zero_zero
zero,5.0,four,,,zero,47,one,40,
,0.0,zero,33.0,zero,zero,47,one,8,one_zero_one_zero_one
zero,2.0,two,25.0,zero,zero,49,,35,
one,4.0,one,42.0,zero,one,49,,52,zero_zero_zero_one_zero
zero,,zero,28.0,zero,zero,41,one,6,one_zero_zero_zero_zero
,7.0,zero,12.0,zero,zero,44,one,6,zero_zero_zero_zero_zero
one,,zero,28.0,zero,two,47,one,38,zero_zero_zero_one_one
zero,4.0,three,,zero,zero,83,,45,
,7.0,zero,15.0,zero,zero,39,,25,
zero,,zero,,zero,zero,39,one,19,
one,,two,,zero,zero,64,,20,
one,7.0,zero,23.0,zero,one,59,one,30,
one,3.0,two,27.0,zero,two,35,one,1,zero_zero_zero_one_one
one,4.0,three,40.0,zero,zero,44,one,30,zero_zero_zero_one_one
,,three,37.0,zero,zero,41,one,47,one_zero_one_zero_zero
zero,2.0,one,16.0,,one,45,,26,one_zero_zero_one_zero
,0.0,zero,23.0,,zero,59,one,8,
zero,2.0,one,23.0,,zero,41,one,33,
zero,,two,,zero,zero,44,one,7,zero_zero_zero_one_zero
,,two,33.0,zero,one,23,zero,30,
one,,zero,47.0,zero,zero,19,,10,
one,2.0,one,19.0,zero,one,59,one,29,
zero,,zero,1.0,zero,zero,39,one,4,one_zero_zero_zero_zero
two,,zero,39.0,zero,two,71,,34,zero_zero_one_zero_one
,4.0,three,39.0,zero,three,89,one,49,zero_zero_zero_one_one
one,2.0,one,,one,zero,83,one,43,zero_zero_zero_one_one
two,3.0,two,42.0,zero,two,19,,52,
,2.0,one,,zero,zero,39,,39,zero_zero_zero_one_zero
zero,,three,,zero,zero,39,,10,zero_zero_zero_one_zero
zero,4.0,zero,8.0,zero,one,44,one,8,
,8.0,zero,9.0,zero,one,49,one,0,
one,1.0,zero,20.0,,three,43,,2,
,3.0,zero,10.0,zero,one,19,one,20,zero_zero_zero_zero_zero
,5.0,three,46.0,zero,zero,49,zero,56,
,3.0,two,28.0,zero,two,39,one,38,zero_zero_zero_one_zero
two,1.0,zero,,zero,one,43,one,34,
two,5.0,four,28.0,zero,two,43,one,38,zero_one_zero_one_one
zero,2.0,one,14.0,zero,zero,44,,24,one_zero_zero_one_zero
one,,zero,43.0,zero,two,29,one,53,zero_zero_zero_zero_one
zero,2.0,one,,zero,zero,43,,28,one_zero_zero_one_zero
,3.0,two,18.0,zero,zero,43,one,12,
,3.0,two,,zero,one,49,one,33,zero_zero_zero_one_one
zero,4.0,one,22.0,zero,two,19,one,20,
,3.0,zero,35.0,zero,zero,29,one,45,zero_zero_zero_one_zero
zero,2.0,one,24.0,,one,39,,9,zero_one_zero_one_zero
one,,zero,23.0,,three,39,one,32,
zero,,zero,27.0,zero,one,69,one,20,zero_zero_one_zero_zero
one,2.0,one,17.0,,two,69,one,27,zero_zero_zero_one_zero
zero,2.0,one,33.0,,three,39,one,34,zero_one_zero_zero_one
one,3.0,two,35.0,zero,zero,49,one,45,
zero,,one,,,zero,44,one,26,one_zero_zero_one_zero
,1.0,zero,28.0,zero,zero,49,one,38,
zero,,zero,17.0,zero,one,41,one,9,one_zero_zero_zero_one
one,8.0,zero,14.0,zero,two,39,one,23,
zero,8.0,four,,,zero,45,,23,
zero,3.0,zero,24.0,zero,three,59,,34,zero_zero_zero_zero_one
one,7.0,four,37.0,zero,two,49,,22,zero_zero_zero_one_one
,,two,,,zero,47,one,37,
,3.0,two,35.0,zero,one,69,one,24,
,1.0,zero,,zero,two,24,,37,
zero,5.0,two,16.0,zero,zero,44,one,26,
,3.0,two,,zero,two,49,one,22,zero_zero_zero_one_zero
zero,3.0,two,15.0,zero,zero,69,one,14,
zero,9.0,seven,,zero,zero,71,one,48,zero_zero_zero_one_zero
two,6.0,one,53.0,,one,59,one,43,zero_zero_zero_one_one
one,3.0,one,48.0,,one,55,,7,zero_zero_zero_one_one
zero,,two,,zero,zero,39,one,13,
zero,3.0,one,47.0,,one,39,one,50,zero_one_zero_zero_one
,,zero,,zero,zero,49,one,25,
zero,2.0,one,,,two,35,one,8,
zero,4.0,one,52.0,,one,5,,62,
one,2.0,zero,20.0,zero,two,43,one,30,
,3.0,two,18.0,zero,zero,50,,28,
zero,,one,34.0,zero,zero,29,one,44,one_one_zero_zero_zero
,,zero,42.0,zero,three,39,one,30,zero_zero_one_zero_one
zero,4.0,three,37.0,zero,zero,55,one,40,
one,2.0,one,38.0,,two,59,,18,zero_one_zero_one_zero
zero,,two,,zero,zero,83,one,12,
,,two,,,one,81,one,29,zero_zero_zero_one_zero
one,,zero,,,one,39,one,32,zero_zero_zero_zero_zero
one,1.0,zero,32.0,,three,49,one,42,
,,two,27.0,zero,one,59,one,30,
,3.0,two,36.0,zero,zero,49,one,39,
zero,1.0,one,,zero,zero,39,,56,one_one_one_zero_zero
zero,,zero,18.0,,two,19,one,8,
,5.0,zero,9.0,,one,44,one,10,
,3.0,zero,8.0,zero,one,47,one,18,
three,2.0,one,41.0,,two,49,,51,zero_zero_zero_one_one
zero,4.0,zero,13.0,zero,zero,47,one,23,
,3.0,two,15.0,,zero,43,one,5,
,7.0,zero,2.0,zero,zero,43,one,12,
zero,5.0,zero,14.0,,two,39,,24,zero_zero_zero_zero_zero
one,,zero,22.0,zero,two,24,one,32,zero_zero_zero_one_one
zero,11.0,one,,,zero,47,,22,
zero,,three,30.0,zero,one,49,one,40,zero_zero_zero_one_one
,0.0,zero,20.0,,zero,47,one,4,
one,1.0,zero,13.0,,one,35,,23,
zero,6.0,five,,,zero,24,,42,
,2.0,two,,zero,zero,44,,39,zero_zero_one_zero_zero
,3.0,two,14.0,,one,53,one,24,zero_zero_zero_one_one
zero,4.0,three,53.0,zero,zero,27,one,63,zero_zero_zero_one_zero
zero,1.0,zero,57.0,zero,zero,29,,30,
,6.0,zero,5.0,zero,zero,47,one,15,
zero,6.0,zero,,zero,two,44,one,30,
two,2.0,one,,zero,zero,47,,23,zero_zero_zero_one_one
,,zero,11.0,zero,one,59,one,21,
zero,1.0,zero,,zero,two,43,one,11,
zero,,two,19.0,zero,two,47,,7,
one,,two,22.0,zero,two,39,one,32,zero_zero_zero_one_zero
zero,0.0,zero,30.0,zero,two,55,one,40,
one,3.0,two,,,two,39,one,7,zero_one_zero_one_zero
three,4.0,zero,26.0,,three,44,one,30,zero_zero_zero_zero_one
,2.0,one,,zero,zero,39,one,37,zero_zero_zero_one_zero
,,zero,,,zero,43,,26,one_zero_zero_one_zero
zero,2.0,one,,,zero,47,one,35,
zero,2.0,one,,zero,two,71,,4,zero_zero_zero_one_one
,3.0,zero,11.0,zero,one,47,one,21,zero_one_zero_zero_zero
,3.0,two,33.0,one,two,39,,21,one_zero_zero_one_one
one,5.0,three,35.0,zero,zero,44,one,29,zero_zero_zero_one_one
zero,,two,27.0,zero,one,47,one,6,zero_zero_zero_one_zero
one,2.0,one,,zero,zero,39,,52,
zero,,zero,37.0,zero,two,36,one,47,
,4.0,three,26.0,zero,zero,39,,12,one_zero_zero_one_zero
one,4.0,three,46.0,zero,two,39,one,56,zero_zero_zero_one_one
zero,3.0,two,22.0,zero,zero,47,one,11,
zero,2.0,one,36.0,zero,zero,47,one,46,zero_zero_zero_one_zero
zero,2.0,one,18.0,,one,19,one,28,zero_one_zero_one_zero
one,4.0,zero,15.0,zero,two,19,one,20,
one,3.0,two,36.0,zero,zero,47,,25,
zero,,two,27.0,zero,one,17,one,21,
zero,4.0,three,,zero,zero,29,one,48,
,3.0,two,37.0,,three,29,one,31,
zero,3.0,two,33.0,,one,39,one,30,
,,zero,14.0,zero,one,69,one,24,
zero,,zero,12.0,,one,47,,16,one_zero_zero_zero_zero
one,3.0,two,41.0,zero,two,39,one,39,
zero,3.0,two,26.0,zero,zero,47,one,36,
one,2.0,one,31.0,zero,two,39,,28,
two,4.0,three,,zero,zero,95,one,8,
,,zero,,zero,zero,39,one,10,one_zero_zero_zero_zero
zero,2.0,one,11.0,,one,47,,10,zero_zero_zero_one_zero
zero,0.0,zero,20.0,zero,zero,59,one,30,
,,zero,,,one,39,one,14,
,4.0,three,,zero,zero,19,,44,
two,2.0,one,,zero,two,43,one,13,zero_zero_zero_one_one
,11.0,three,16.0,zero,one,23,,26,zero_zero_zero_one_zero
zero,7.0,six,,zero,zero,39,,42,one_zero_zero_one_zero
zero,4.0,zero,9.0,zero,one,35,one,19,
zero,2.0,one,,zero,zero,47,,5,
two,,zero,49.0,zero,two,39,one,59,zero_zero_zero_one_one
zero,,two,,zero,one,47,one,44,
,2.0,one,36.0,,zero,43,,20,zero_zero_zero_one_one
zero,5.0,four,,,zero,69,one,35,zero_zero_zero_one_zero
,3.0,two,,zero,two,39,one,43,one_zero_zero_one_one
,5.0,four,,zero,one,69,one,44,zero_zero_zero_one_zero
zero,2.0,one,18.0,,zero,43,one,28,one_zero_zero_one_zero
,3.0,two,28.0,,one,59,one,38,zero_zero_zero_one_one
,5.0,three,,,zero,39,one,28,
,,zero,57.0,zero,zero,59,one,67,
one,3.0,one,23.0,zero,two,65,one,33,zero_zero_zero_one_one
zero,2.0,one,,zero,zero,65,,6,zero_zero_zero_one_zero
zero,3.0,zero,17.0,,one,43,one,25,zero_zero_zero_zero_one
,3.0,two,18.0,zero,one,39,one,21,
zero,2.0,one,,,zero,39,one,37,zero_zero_zero_one_zero
one,3.0,three,33.0,zero,one,43,one,30,
zero,,two,,zero,zero,83,one,25,
one,,one,24.0,zero,one,59,,34,one_zero_zero_one_zero
,1.0,zero,31.0,zero,one,43,one,41,one_zero_zero_one_zero
zero,,zero,28.0,zero,two,47,one,12,one_zero_one_zero_one
zero,,two,,,zero,49,one,12,
,4.0,three,29.0,zero,one,43,one,4,zero_zero_zero_one_one
zero,1.0,zero,53.0,zero,zero,5,one,49,
,3.0,two,51.0,zero,zero,95,one,61,
,,zero,8.0,zero,one,47,one,18,
zero,3.0,zero,,zero,zero,34,one,50,
,,zero,57.0,zero,two,39,one,52,one_zero_zero_one_one
,4.0,three,40.0,zero,zero,43,one,31,zero_zero_zero_one_one
zero,5.0,four,44.0,,one,64,,53,zero_zero_zero_one_one
,4.0,two,47.0,,one,20,one,57,zero_zero_zero_one_zero
,,zero,11.0,zero,two,47,one,21,
zero,11.0,zero,,zero,zero,83,one,18,
zero,6.0,five,,zero,zero,47,,15,
zero,2.0,one,14.0,,one,39,,9,one_one_zero_one_zero
zero,2.0,one,,zero,zero,47,,28,one_zero_zero_one_zero
three,,zero,7.0,zero,one,49,,17,zero_zero_zero_zero_zero
zero,5.0,four,28.0,,one,39,,38,zero_one_zero_one_zero
zero,2.0,one,,,two,41,,35,one_zero_zero_one_one
,4.0,three,,zero,zero,59,one,27,
zero,,two,35.0,zero,zero,54,,45,
three,3.0,two,40.0,,one,53,,45,
zero,10.0,zero,13.0,zero,zero,39,one,23,
zero,,three,22.0,,three,49,one,8,
one,3.0,two,38.0,zero,zero,44,,48,
,,zero,6.0,,one,47,one,16,
zero,3.0,zero,,zero,zero,39,one,19,
one,1.0,zero,21.0,zero,three,59,one,18,zero_zero_zero_one_one
zero,3.0,one,,zero,zero,34,one,28,zero_zero_zero_zero_zero
,3.0,two,51.0,zero,one,65,one,51,
zero,2.0,one,31.0,,one,59,one,2,zero_one_zero_one_zero
,2.0,zero,33.0,zero,three,44,,43,
zero,,three,23.0,,one,43,one,20,zero_one_zero_one_zero
one,,zero,47.0,,zero,47,one,14,
one,,zero,14.0,,one,47,one,24,
one,5.0,four,,,zero,44,,1,one_one_zero_one_one
zero,3.0,two,36.0,zero,zero,20,zero,30,zero_one_zero_one_zero
zero,,zero,22.0,zero,zero,39,one,32,
zero,7.0,six,,,zero,47,,42,zero_zero_zero_one_zero
zero,,seven,38.0,,zero,39,,35,zero_zero_zero_one_zero
,,zero,,zero,one,39,,21,
zero,,two,20.0,zero,zero,49,one,8,
zero,5.0,four,,,zero,29,one,20,zero_zero_zero_one_zero
zero,2.0,one,17.0,,zero,39,one,1,one_zero_zero_one_zero
zero,10.0,nine,,zero,zero,39,,32,zero_zero_zero_one_zero
zero,3.0,two,11.0,zero,zero,27,one,21,
,3.0,zero,10.0,zero,one,39,,4,
zero,1.0,zero,24.0,zero,zero,24,,34,
,3.0,zero,20.0,zero,two,47,one,30,
zero,2.0,one,,,two,43,,23,zero_one_zero_one_zero
zero,,one,20.0,,two,47,,5,one_zero_zero_one_one
zero,5.0,four,34.0,zero,three,39,zero,20,zero_zero_zero_one_one
,3.0,zero,30.0,zero,one,43,one,40,zero_zero_zero_one_zero
zero,1.0,zero,45.0,zero,zero,19,one,27,
one,3.0,one,46.0,zero,one,44,,46,
zero,2.0,zero,17.0,zero,one,59,one,27,
one,,zero,25.0,zero,three,43,one,35,one_one_zero_zero_one
zero,2.0,one,46.0,zero,zero,59,,45,one_zero_zero_one_zero
zero,4.0,three,41.0,zero,zero,35,one,51,
zero,,three,28.0,zero,zero,59,one,20,
zero,1.0,zero,,zero,zero,46,one,56,
one,2.0,one,35.0,,one,47,one,14,
one,4.0,three,33.0,zero,two,39,one,43,
one,1.0,zero,,zero,zero,39,one,31,zero_zero_zero_one_zero
two,3.0,two,28.0,,three,59,one,2,zero_zero_zero_one_one
zero,,zero,,zero,two,43,one,3,one_zero_zero_zero_zero
one,0.0,zero,29.0,zero,zero,34,,17,
,7.0,seven,,zero,zero,19,zero,36,zero_one_one_zero_zero
,,zero,8.0,zero,one,41,one,1,
zero,2.0,one,16.0,,one,43,,1,one_zero_zero_one_zero
zero,1.0,zero,20.0,zero,two,41,one,30,one_zero_zero_one_zero
two,4.0,three,38.0,,zero,69,one,48,zero_one_zero_one_one
,2.0,two,41.0,,zero,47,zero,43,zero_one_one_zero_zero
one,4.0,three,26.0,,zero,59,one,5,
zero,1.0,zero,19.0,zero,zero,39,,27,zero_zero_one_zero_zero
,1.0,zero,31.0,zero,three,31,one,15,
one,2.0,one,37.0,zero,zero,76,one,46,zero_zero_zero_one_one
zero,,two,41.0,zero,zero,59,one,51,zero_zero_zero_one_zero
zero,,zero,25.0,zero,zero,59,,35,
one,2.0,one,,zero,two,49,,31,one_zero_zero_one_one
,,zero,35.0,zero,zero,39,one,45,
zero,4.0,three,,zero,zero,34,one,42,
zero,2.0,one,16.0,,one,53,,18,zero_zero_zero_one_one
,7.0,zero,1.0,zero,zero,24,one,11,
,,zero,,zero,zero,39,one,32,zero_zero_zero_one_zero
,,three,26.0,zero,zero,47,,30,
zero,,four,46.0,,one,41,,45,one_zero_zero_one_one
,,zero,34.0,zero,zero,47,zero,10,
,,zero,28.0,zero,one,59,,10,zero_zero_zero_one_zero
zero,4.0,zero,,zero,zero,51,one,30,one_zero_zero_zero_zero
zero,5.0,three,31.0,,two,39,,32,
zero,6.0,five,37.0,zero,zero,29,one,47,
zero,1.0,zero,31.0,zero,two,23,one,41,
zero,,two,,zero,zero,41,,13,zero_zero_zero_one_zero
zero,2.0,one,,zero,zero,69,,48,zero_zero_zero_one_zero
zero,14.0,five,,zero,zero,59,,63,zero_zero_zero_one_zero
zero,2.0,two,34.0,zero,zero,55,one,43,
zero,2.0,one,,zero,zero,39,one,21,one_zero_zero_one_zero
one,,zero,20.0,,two,39,one,12,zero_zero_zero_one_one
,,zero,4.0,zero,zero,59,one,12,
one,3.0,two,28.0,zero,two,43,one,38,zero_zero_zero_one_one
,3.0,two,17.0,,two,47,one,7,
one,2.0,one,,zero,two,39,,40,zero_one_zero_one_zero
zero,2.0,one,,,zero,34,zero,22,
one,,zero,,zero,zero,57,one,21,
zero,4.0,three,29.0,zero,zero,55,one,39,
zero,7.0,one,40.0,zero,zero,47,one,50,zero_zero_zero_one_zero
,3.0,two,19.0,,three,39,one,29,zero_one_zero_one_zero
one,1.0,zero,13.0,zero,two,39,one,1,one_zero_zero_one_one
zero,2.0,one,11.0,,one,47,,21,zero_zero_zero_one_zero
one,3.0,two,,zero,one,35,one,28,zero_zero_zero_one_zero
two,3.0,two,38.0,,one,39,,40,
one,,two,25.0,zero,one,59,,29,zero_zero_zero_one_zero
,1.0,zero,,zero,zero,41,one,12,
zero,3.0,two,36.0,zero,zero,14,one,46,
one,4.0,three,28.0,,zero,49,one,8,one_zero_zero_one_zero
zero,6.0,five,,zero,zero,43,,32,zero_zero_zero_one_zero
two,,zero,,,three,39,one,6,
zero,3.0,two,17.0,zero,zero,8,,27,zero_one_zero_one_zero
one,4.0,three,23.0,,one,34,one,20,
,4.0,two,39.0,zero,zero,49,,28,
zero,,zero,7.0,zero,one,27,one,11,
,0.0,zero,34.0,,one,64,zero,18,zero_one_zero_zero_zero
zero,3.0,three,26.0,zero,one,7,,36,
zero,,two,37.0,zero,zero,39,one,18,zero_one_one_zero_zero
zero,4.0,three,,zero,zero,47,one,14,zero_zero_zero_one_zero
,7.0,zero,7.0,zero,zero,15,one,17,
,3.0,two,28.0,zero,zero,39,one,1,
,,zero,37.0,zero,zero,39,one,46,
,5.0,three,53.0,zero,zero,39,one,35,zero_one_zero_one_zero
zero,4.0,zero,,zero,two,39,one,19,
one,10.0,five,38.0,,zero,39,,48,zero_one_one_zero_one
zero,,zero,10.0,zero,two,47,,10,
one,,zero,9.0,zero,one,39,one,12,one_one_zero_zero_zero
,3.0,two,17.0,zero,one,46,one,9,one_zero_zero_one_zero
one,6.0,two,17.0,,one,11,one,27,
,3.0,two,38.0,zero,zero,47,zero,26,
two,,three,38.0,,zero,39,one,48,
one,3.0,two,20.0,zero,zero,55,one,30,
,2.0,one,25.0,zero,one,35,,29,zero_zero_zero_one_zero
zero,,two,32.0,,one,59,one,2,
one,4.0,zero,13.0,zero,one,29,one,20,one_zero_zero_zero_one
,7.0,six,,zero,zero,35,,51,zero_zero_zero_one_zero
zero,2.0,one,34.0,zero,zero,29,,44,one_one_zero_one_zero
,,two,34.0,,one,39,one,44,
one,3.0,two,40.0,zero,two,35,one,50,
zero,,zero,35.0,zero,one,95,one,20,
zero,,one,37.0,zero,zero,59,,1,zero_zero_zero_one_zero
,3.0,two,39.0,zero,three,39,one,8,
,1.0,zero,,,three,29,,39,
,,zero,36.0,zero,zero,29,one,46,zero_one_zero_one_zero
