a2,a3,a4,a5,a9,a10,a11,a12,a13,combo
one,3.0,two,,zero,zero,,,30.0,
zero,,eight,42.0,zero,zero,39.0,,5.0,
zero,,four,29.0,zero,one,55.0,,3.0,one_one_zero_one_one
zero,,zero,16.0,zero,zero,47.0,one,26.0,
zero,1.0,,52.0,zero,zero,47.0,one,,
zero,3.0,,,zero,,39.0,one,,zero_one_zero_one_one
zero,1.0,,70.0,,zero,19.0,zero,,
zero,2.0,,22.0,zero,,39.0,one,,
zero,7.0,two,,zero,one,43.0,,30.0,
two,,,,zero,two,43.0,one,,
zero,,,45.0,zero,,39.0,one,,
zero,3.0,zero,24.0,zero,two,39.0,,,
zero,6.0,zero,39.0,zero,,9.0,one,49.0,
,,three,,zero,one,,one,,
one,2.0,one,29.0,zero,,,,39.0,zero_zero_zero_one_one
,2.0,one,32.0,zero,zero,69.0,,,
zero,,,40.0,,zero,,one,,
zero,4.0,three,55.0,zero,,14.0,zero,,
two,4.0,,,,,77.0,one,35.0,zero_zero_zero_one_one
,4.0,three,,,zero,,,2.0,
zero,1.0,,12.0,zero,one,65.0,,,
zero,,zero,,zero,,71.0,one,,
,,three,35.0,zero,one,64.0,one,45.0,
one,2.0,two,44.0,,,,,54.0,
one,3.0,two,19.0,,,,,29.0,one_one_zero_one_one
two,,zero,,,two,44.0,one,,
four,,zero,18.0,zero,three,63.0,one,12.0,
zero,5.0,two,48.0,,zero,,,21.0,
,2.0,one,15.0,zero,two,,one,,
,,two,37.0,zero,zero,59.0,one,47.0,zero_zero_zero_one_zero
,11.0,nine,37.0,zero,zero,29.0,,,
zero,2.0,one,14.0,zero,,47.0,one,0.0,
zero,,two,22.0,zero,one,3.0,,32.0,
zero,3.0,,12.0,zero,zero,,one,,
one,,zero,,zero,zero,,one,,
one,,,36.0,zero,zero,17.0,one,30.0,
,,three,18.0,zero,,39.0,one,8.0,
zero,2.0,one,27.0,zero,zero,,,35.0,
zero,2.0,zero,12.0,zero,two,,one,,
zero,3.0,two,36.0,zero,zero,39.0,one,15.0,zero_zero_zero_one_zero
two,2.0,one,21.0,zero,three,,one,31.0,
zero,3.0,two,30.0,,one,9.0,one,40.0,
,,one,,zero,two,24.0,one,,
zero,,,19.0,zero,zero,,,27.0,
one,3.0,two,31.0,zero,one,69.0,one,41.0,
zero,3.0,,,,zero,47.0,one,21.0,
zero,,zero,35.0,zero,zero,59.0,one,3.0,one_zero_zero_zero_zero
four,,three,,zero,one,39.0,one,17.0,
zero,5.0,,61.0,zero,zero,,one,45.0,
zero,0.0,zero,22.0,,,59.0,one,14.0,
one,,zero,13.0,zero,,39.0,one,20.0,
zero,,,25.0,zero,one,47.0,one,28.0,
,2.0,,40.0,zero,zero,39.0,one,50.0,
zero,5.0,three,10.0,,,11.0,,20.0,one_one_zero_zero_zero
zero,1.0,zero,,zero,zero,39.0,one,5.0,one_one_zero_one_zero
zero,9.0,,37.0,zero,zero,39.0,,,
zero,,zero,13.0,zero,zero,,,21.0,
,0.0,zero,,,zero,59.0,,,
one,3.0,two,36.0,zero,,39.0,one,29.0,
,2.0,one,,zero,zero,,one,27.0,
,,,,zero,zero,43.0,,,zero_zero_zero_zero_zero
,2.0,one,20.0,zero,one,47.0,one,,zero_one_zero_one_zero
zero,,five,,zero,zero,,zero,40.0,
,,two,,,three,,,,
two,4.0,zero,30.0,,zero,41.0,one,1.0,zero_zero_one_zero_zero
one,3.0,two,,zero,one,,one,,
zero,3.0,two,,zero,one,47.0,,19.0,
one,1.0,zero,27.0,,two,29.0,one,37.0,
zero,5.0,,13.0,zero,,43.0,one,,zero_one_zero_zero_zero
one,3.0,,37.0,,three,23.0,,,
,3.0,one,30.0,zero,two,,,,one_zero_zero_one_zero
one,,,,zero,three,49.0,one,,
zero,3.0,two,33.0,zero,zero,53.0,,12.0,
zero,3.0,two,18.0,zero,one,,one,8.0,
one,2.0,one,49.0,zero,,47.0,one,59.0,
one,,zero,8.0,zero,zero,47.0,one,,
one,4.0,,17.0,zero,one,43.0,one,,
zero,,two,31.0,zero,,,,12.0,
,1.0,zero,,,zero,47.0,,12.0,
zero,,zero,4.0,,zero,19.0,one,14.0,
,5.0,four,,zero,,47.0,one,40.0,
one,0.0,zero,33.0,zero,zero,,one,,
zero,2.0,two,25.0,zero,zero,49.0,one,35.0,
one,4.0,one,42.0,,one,49.0,,52.0,
,,zero,28.0,,zero,41.0,one,6.0,
,7.0,zero,,zero,,,one,6.0,
one,1.0,zero,28.0,,,47.0,one,,zero_zero_zero_one_one
zero,4.0,three,35.0,,zero,,,45.0,
,,zero,,zero,,39.0,one,25.0,
zero,0.0,zero,30.0,zero,,39.0,one,19.0,zero_zero_zero_zero_zero
one,4.0,two,24.0,,,64.0,,20.0,
one,7.0,,23.0,,,59.0,one,30.0,
,3.0,two,,zero,two,,one,1.0,
,4.0,,,zero,zero,,one,,zero_zero_zero_one_one
one,,,37.0,,zero,41.0,one,47.0,
zero,2.0,one,16.0,zero,one,45.0,one,26.0,
,0.0,zero,23.0,zero,zero,59.0,one,,
,2.0,,23.0,zero,zero,41.0,,,
,,two,37.0,zero,zero,44.0,one,7.0,
zero,3.0,,33.0,zero,one,23.0,,30.0,
,1.0,zero,47.0,zero,,19.0,one,10.0,zero_zero_zero_one_zero
one,,,19.0,zero,one,59.0,one,29.0,
zero,3.0,zero,1.0,zero,zero,,one,4.0,one_zero_zero_zero_zero
,,zero,,zero,two,,one,,
zero,4.0,,39.0,zero,three,89.0,one,49.0,
one,2.0,,52.0,one,zero,83.0,one,43.0,
,3.0,two,42.0,,,,,52.0,
,2.0,one,32.0,,zero,39.0,one,39.0,zero_zero_zero_one_zero
zero,5.0,three,43.0,zero,zero,,one,10.0,
,4.0,,,zero,one,,one,8.0,
two,8.0,,,zero,one,49.0,,,
,1.0,zero,,,three,43.0,,,
zero,3.0,,,,one,19.0,,20.0,zero_zero_zero_zero_zero
zero,5.0,,46.0,zero,zero,49.0,zero,,
,,two,,zero,,39.0,one,38.0,
two,1.0,zero,24.0,zero,one,43.0,,34.0,
two,5.0,,28.0,zero,,43.0,one,,
,,one,14.0,zero,zero,44.0,one,24.0,
one,2.0,zero,43.0,zero,,,one,53.0,
zero,2.0,one,18.0,zero,,43.0,one,,
,,two,18.0,zero,zero,43.0,one,,
,,,29.0,zero,one,49.0,one,33.0,
zero,4.0,one,,zero,,19.0,one,20.0,
,,zero,,zero,,,,45.0,zero_zero_zero_one_zero
,2.0,one,,zero,one,39.0,one,9.0,
,,zero,23.0,zero,,,,32.0,zero_one_zero_zero_zero
zero,0.0,zero,27.0,,one,69.0,one,20.0,
,,one,17.0,zero,two,,,27.0,
zero,,one,33.0,zero,,39.0,one,34.0,
one,3.0,two,35.0,zero,zero,49.0,one,45.0,
zero,2.0,,23.0,zero,,,one,26.0,one_zero_zero_one_zero
one,,,28.0,zero,,49.0,one,,
zero,1.0,zero,17.0,zero,one,,one,,one_zero_zero_zero_one
,,,14.0,zero,two,,one,,
zero,8.0,,19.0,zero,zero,,,23.0,
zero,3.0,zero,24.0,,three,59.0,one,34.0,
one,7.0,,37.0,zero,two,,zero,22.0,
zero,3.0,two,27.0,,zero,47.0,,37.0,
one,,,35.0,zero,one,69.0,,,
zero,1.0,zero,27.0,,two,,,37.0,
zero,5.0,two,,,zero,44.0,one,26.0,
,3.0,two,,,two,,one,22.0,
zero,,,,zero,,69.0,,14.0,zero_zero_zero_one_zero
zero,,seven,38.0,,,71.0,,48.0,
two,,,,zero,one,,one,43.0,zero_zero_zero_one_one
,,one,,,one,55.0,,,zero_zero_zero_one_one
,,two,,zero,,,,,
zero,,one,,zero,,,,50.0,
zero,4.0,zero,24.0,zero,zero,,one,25.0,zero_zero_zero_zero_zero
zero,,one,,zero,two,35.0,one,8.0,
,,,52.0,zero,one,,zero,62.0,
one,2.0,zero,,,two,43.0,one,30.0,
zero,,two,18.0,zero,zero,50.0,one,28.0,zero_one_zero_one_zero
,1.0,one,,zero,zero,,one,44.0,
one,0.0,,42.0,,three,39.0,,30.0,
zero,4.0,three,37.0,zero,,55.0,one,,
one,2.0,one,,zero,two,59.0,one,18.0,
zero,,two,,,zero,83.0,one,12.0,
,9.0,two,19.0,,one,81.0,,,zero_zero_zero_one_zero
one,,zero,22.0,zero,,39.0,,32.0,
one,1.0,zero,,,three,49.0,,42.0,
,3.0,two,27.0,,,,one,30.0,
zero,,two,36.0,zero,zero,,one,,
zero,1.0,one,46.0,zero,,,one,56.0,
,,zero,,,,,one,8.0,
,5.0,zero,9.0,zero,one,44.0,one,10.0,zero_one_zero_zero_zero
,3.0,zero,8.0,zero,one,47.0,one,18.0,
three,2.0,one,41.0,zero,two,,,,
zero,,zero,13.0,zero,zero,,one,23.0,
one,,two,15.0,zero,zero,,one,5.0,one_zero_zero_one_zero
,7.0,zero,2.0,zero,,43.0,,,
zero,,,14.0,zero,two,,one,,
,,zero,22.0,,,24.0,,32.0,zero_zero_zero_one_one
zero,11.0,one,12.0,zero,zero,47.0,,22.0,
zero,,,30.0,zero,one,49.0,one,40.0,
,0.0,,,zero,,47.0,,,
,,zero,,zero,one,35.0,one,23.0,
zero,6.0,five,32.0,,zero,24.0,one,,one_one_zero_one_zero
,2.0,two,40.0,zero,zero,,one,,
,3.0,two,14.0,zero,,53.0,one,24.0,
zero,,three,53.0,zero,,,one,63.0,
zero,1.0,zero,57.0,,zero,29.0,one,30.0,zero_zero_zero_one_zero
zero,6.0,zero,,zero,zero,,one,,
,,zero,21.0,zero,two,44.0,,,zero_zero_zero_zero_zero
two,,one,40.0,zero,zero,47.0,zero,23.0,
,3.0,,11.0,zero,one,,,21.0,
zero,1.0,zero,23.0,zero,two,43.0,one,,zero_zero_zero_one_zero
zero,3.0,,19.0,,,,one,7.0,
,,,22.0,zero,two,39.0,one,,
zero,,zero,30.0,zero,two,55.0,one,40.0,zero_one_one_zero_zero
one,3.0,two,,zero,,,one,7.0,zero_one_zero_one_zero
three,4.0,,26.0,,three,44.0,one,30.0,
zero,2.0,one,27.0,zero,zero,39.0,one,37.0,
zero,1.0,zero,,,zero,43.0,one,26.0,
zero,2.0,one,25.0,,zero,47.0,one,,
zero,2.0,,15.0,,two,,one,4.0,
two,3.0,zero,11.0,zero,one,47.0,one,21.0,
one,,two,33.0,one,two,39.0,one,21.0,
one,5.0,three,35.0,zero,zero,44.0,one,29.0,
zero,3.0,,27.0,,one,47.0,,6.0,zero_zero_zero_one_zero
,2.0,one,,zero,zero,39.0,one,52.0,
zero,,zero,37.0,zero,two,,one,,
zero,4.0,three,26.0,zero,,,one,12.0,
one,4.0,,46.0,,,,one,56.0,zero_zero_zero_one_one
zero,,two,22.0,zero,zero,47.0,,11.0,
zero,2.0,,36.0,,zero,47.0,one,46.0,
,2.0,one,,zero,one,,one,28.0,
one,4.0,zero,15.0,,two,19.0,,20.0,
one,,,36.0,zero,,47.0,,25.0,
,,two,27.0,zero,,17.0,one,,one_one_zero_one_zero
zero,,three,38.0,zero,,,,,
,,two,37.0,,three,29.0,one,,
,3.0,two,,zero,one,39.0,,30.0,
two,0.0,zero,14.0,,one,,one,,
zero,,zero,12.0,,,47.0,zero,16.0,
one,3.0,two,41.0,zero,two,39.0,,39.0,
zero,3.0,two,26.0,zero,zero,,,36.0,
,2.0,one,,,two,39.0,one,28.0,
two,4.0,three,,zero,zero,95.0,one,,
one,,zero,7.0,zero,,39.0,one,10.0,
zero,2.0,one,11.0,,,47.0,one,,zero_zero_zero_one_zero
zero,0.0,zero,20.0,zero,zero,,,,
zero,3.0,,8.0,zero,one,39.0,one,14.0,
zero,4.0,,34.0,,zero,19.0,one,,
two,,one,,zero,,,,,
two,11.0,three,16.0,zero,one,23.0,,26.0,
,,six,,,,39.0,,42.0,
,,zero,9.0,zero,,,,19.0,zero_zero_zero_zero_zero
,2.0,,29.0,zero,,47.0,one,5.0,
,1.0,zero,,zero,,39.0,one,,
zero,3.0,,34.0,zero,one,,one,44.0,
one,,one,36.0,zero,zero,43.0,one,20.0,
,5.0,four,26.0,,zero,69.0,one,35.0,
one,,two,33.0,zero,two,39.0,one,,one_zero_zero_one_one
,5.0,four,,zero,,,one,,
zero,,,,zero,zero,,one,,
one,3.0,two,28.0,zero,one,59.0,one,38.0,zero_zero_zero_one_one
zero,5.0,three,19.0,zero,zero,39.0,one,,
,1.0,zero,,zero,zero,59.0,,67.0,
,,one,,zero,two,65.0,one,33.0,
zero,,one,23.0,zero,zero,65.0,,6.0,
zero,3.0,zero,,zero,,43.0,one,,
zero,3.0,two,18.0,zero,one,,,21.0,
zero,2.0,one,,zero,zero,39.0,one,37.0,
one,3.0,three,33.0,zero,,43.0,one,30.0,
zero,3.0,two,15.0,zero,zero,83.0,one,25.0,
one,6.0,one,24.0,zero,,59.0,zero,34.0,
zero,1.0,zero,,,one,43.0,,41.0,
,,zero,,zero,two,47.0,one,,
zero,3.0,two,,zero,,,one,12.0,
one,4.0,three,29.0,zero,,43.0,one,4.0,
,,zero,53.0,zero,zero,,,,
,3.0,two,51.0,,zero,95.0,one,,zero_zero_zero_one_one
zero,3.0,zero,8.0,zero,one,47.0,one,,
zero,,,56.0,zero,,34.0,one,,
zero,,,57.0,zero,,39.0,,,
one,4.0,three,40.0,zero,zero,,one,31.0,
zero,5.0,,,,one,,,,
zero,,two,47.0,zero,one,20.0,,57.0,zero_zero_zero_one_zero
one,2.0,zero,11.0,zero,,47.0,one,,
zero,11.0,,10.0,,zero,,one,18.0,
zero,6.0,,,,zero,47.0,one,15.0,
,,one,,,one,,,,
zero,2.0,one,18.0,zero,zero,,,28.0,
three,3.0,,7.0,,one,49.0,one,17.0,
zero,,four,28.0,zero,,39.0,,38.0,
zero,2.0,one,,zero,,41.0,one,35.0,one_zero_zero_one_one
zero,4.0,three,18.0,,zero,59.0,one,,
zero,2.0,two,35.0,,zero,54.0,,,
,3.0,two,40.0,,,53.0,one,45.0,
zero,10.0,zero,13.0,zero,zero,39.0,,23.0,
zero,4.0,,,zero,three,,one,,
one,,two,38.0,,zero,,one,48.0,
zero,,,6.0,zero,one,47.0,,,
zero,3.0,,13.0,zero,zero,,one,,
one,1.0,,21.0,zero,three,59.0,,,
zero,3.0,one,18.0,zero,zero,34.0,,28.0,zero_zero_zero_zero_zero
zero,3.0,,51.0,,one,65.0,one,51.0,
,2.0,,31.0,zero,one,59.0,one,2.0,
one,,zero,,zero,,44.0,,43.0,
zero,4.0,three,23.0,zero,one,43.0,one,,
one,2.0,zero,,zero,zero,47.0,one,14.0,zero_one_zero_one_zero
,3.0,zero,14.0,zero,one,47.0,one,24.0,
one,5.0,four,20.0,zero,zero,,,1.0,
zero,,two,36.0,,zero,20.0,zero,30.0,
zero,0.0,zero,22.0,zero,zero,,one,32.0,
zero,7.0,,32.0,,,47.0,,42.0,
zero,8.0,seven,38.0,zero,zero,39.0,,35.0,
zero,3.0,zero,,,,39.0,,,
zero,,,20.0,zero,zero,49.0,one,8.0,
zero,,four,25.0,zero,zero,29.0,one,20.0,zero_zero_zero_one_zero
zero,,,17.0,zero,,,one,1.0,one_zero_zero_one_zero
zero,10.0,nine,22.0,zero,zero,,,32.0,
,,two,11.0,,zero,,one,21.0,
zero,,zero,,zero,one,39.0,,,
,1.0,zero,24.0,zero,zero,24.0,one,,
,3.0,zero,20.0,zero,two,,,30.0,
zero,,,15.0,,two,43.0,,23.0,
,2.0,,20.0,zero,two,47.0,,,
,5.0,four,34.0,,three,,zero,,
,3.0,zero,30.0,zero,one,43.0,one,40.0,
,1.0,zero,45.0,zero,zero,19.0,one,27.0,
one,3.0,one,46.0,zero,,44.0,one,46.0,
zero,2.0,zero,,,one,59.0,one,,zero_zero_zero_one_one
one,,zero,25.0,zero,three,,one,35.0,
zero,,one,,zero,zero,59.0,one,,one_zero_zero_one_zero
,,three,,zero,,35.0,one,51.0,
zero,,three,,zero,zero,59.0,one,20.0,
zero,,zero,46.0,zero,zero,46.0,one,,
,,one,,,one,,one,14.0,
,4.0,,,,two,39.0,one,,
,,,,zero,zero,39.0,one,31.0,
two,,,28.0,zero,three,,,2.0,
zero,,,10.0,zero,two,43.0,,3.0,
one,0.0,,,zero,zero,34.0,one,17.0,
zero,,seven,,,,,zero,36.0,
,,,8.0,zero,one,41.0,one,1.0,zero_one_zero_one_zero
,,,,zero,one,43.0,one,1.0,one_zero_zero_one_zero
zero,1.0,zero,20.0,,two,41.0,one,30.0,
two,,three,,zero,,69.0,one,48.0,
zero,2.0,two,41.0,,zero,47.0,zero,43.0,
one,4.0,three,26.0,zero,zero,,,5.0,one_one_zero_one_zero
,1.0,zero,19.0,zero,zero,39.0,one,27.0,zero_zero_one_zero_zero
,1.0,zero,,zero,three,31.0,one,15.0,
one,2.0,,,zero,,76.0,one,46.0,
zero,7.0,two,41.0,,,,one,51.0,
zero,2.0,,,zero,zero,59.0,,,
one,2.0,,21.0,,,49.0,one,31.0,
,1.0,zero,35.0,,,39.0,,,zero_zero_zero_one_zero
zero,4.0,three,,zero,zero,34.0,,42.0,
,2.0,,16.0,zero,one,53.0,one,,
zero,7.0,zero,1.0,zero,zero,24.0,one,,
zero,1.0,zero,23.0,zero,zero,39.0,one,32.0,zero_zero_zero_one_zero
one,,three,,zero,zero,47.0,one,30.0,
zero,,four,46.0,zero,,,,45.0,
,1.0,,34.0,zero,zero,47.0,zero,,
zero,1.0,,28.0,,,59.0,,10.0,
,4.0,zero,24.0,,zero,51.0,one,30.0,
zero,,three,31.0,zero,two,39.0,one,,
,6.0,five,,,,29.0,one,,zero_one_zero_one_zero
zero,,,31.0,zero,,,one,,
,3.0,two,27.0,zero,,,one,13.0,zero_zero_zero_one_zero
,2.0,one,,zero,zero,69.0,one,48.0,
,,five,53.0,zero,,,,,
,2.0,two,,zero,zero,,one,43.0,
,2.0,,,zero,zero,39.0,one,21.0,
one,1.0,,20.0,zero,two,39.0,one,12.0,
zero,,,4.0,,zero,59.0,one,12.0,
,3.0,,28.0,zero,two,,one,38.0,zero_zero_zero_one_one
one,3.0,two,,,two,47.0,one,7.0,zero_one_zero_one_one
one,,one,30.0,zero,two,,one,40.0,
zero,2.0,,53.0,zero,zero,34.0,,22.0,
one,4.0,zero,,,zero,,,21.0,
zero,4.0,,29.0,zero,,,,39.0,
,7.0,one,40.0,zero,zero,47.0,,50.0,
,,two,19.0,zero,three,,one,29.0,
one,1.0,zero,13.0,,two,39.0,,1.0,
zero,2.0,one,11.0,zero,one,47.0,one,21.0,
,3.0,two,18.0,zero,one,35.0,one,28.0,
two,,two,38.0,zero,,39.0,one,40.0,
,3.0,two,25.0,zero,one,59.0,one,29.0,
,1.0,zero,54.0,zero,zero,41.0,one,12.0,
zero,3.0,two,,,zero,,one,46.0,
one,4.0,,28.0,zero,zero,49.0,one,8.0,
zero,6.0,five,22.0,,zero,,one,,
two,1.0,zero,,,three,39.0,one,,one_zero_zero_one_one
,,,17.0,,zero,8.0,,27.0,
one,4.0,three,23.0,zero,,34.0,one,20.0,
,4.0,,,zero,,,one,,
zero,6.0,zero,,zero,one,27.0,one,,
zero,,zero,34.0,,one,64.0,zero,,
zero,3.0,three,26.0,zero,one,7.0,one,36.0,zero_one_zero_zero_zero
zero,3.0,two,37.0,zero,zero,39.0,one,18.0,
zero,4.0,,27.0,zero,,47.0,one,14.0,
,7.0,zero,,,,15.0,one,17.0,
,,two,28.0,,,,one,1.0,
zero,0.0,zero,37.0,zero,zero,39.0,,46.0,
zero,5.0,,53.0,zero,zero,39.0,one,35.0,
zero,4.0,,10.0,zero,two,,one,19.0,
one,10.0,five,38.0,,,39.0,,,
zero,,,,zero,,47.0,one,10.0,
one,2.0,,9.0,zero,one,39.0,one,12.0,one_one_zero_zero_zero
zero,,,,zero,one,,,9.0,
,,two,17.0,,one,11.0,one,27.0,
zero,3.0,two,,,,47.0,,,
two,,three,38.0,zero,zero,,,48.0,
one,,two,,,,55.0,,,
zero,2.0,one,25.0,,one,,one,,
,,two,32.0,zero,one,59.0,one,2.0,
one,4.0,zero,,zero,,29.0,one,20.0,one_zero_zero_zero_one
zero,7.0,six,,zero,zero,35.0,,51.0,
,2.0,one,34.0,zero,zero,29.0,,44.0,one_one_zero_one_zero
one,,,34.0,zero,one,39.0,one,44.0,
one,3.0,two,40.0,zero,two,35.0,,50.0,
zero,1.0,,,,,95.0,,20.0,one_one_zero_one_zero
zero,2.0,,,zero,zero,,one,1.0,
three,3.0,two,39.0,,three,,one,8.0,zero_one_zero_one_one
,1.0,zero,,zero,three,29.0,,,
zero,1.0,zero,,zero,,29.0,one,46.0,
,0.0,zero,17.0,zero,,44.0,one,8.0,
zero,,one,49.0,zero,zero,39.0,one,59.0,
zero,1.0,zero,,zero,zero,19.0,,26.0,
zero,,zero,13.0,zero,one,,one,17.0,
one,3.0,two,25.0,,zero,,,35.0,one_zero_zero_one_zero
zero,0.0,,14.0,zero,,43.0,,10.0,zero_one_zero_zero_zero
one,3.0,,,zero,two,,one,28.0,
one,,zero,4.0,zero,one,39.0,one,14.0,
,10.0,three,,zero,zero,39.0,one,,one_one_zero_zero_zero
one,,two,,zero,three,,,46.0,
one,3.0,two,24.0,zero,three,39.0,one,,
zero,3.0,three,,,zero,47.0,one,,
zero,,two,15.0,zero,one,47.0,,22.0,
,5.0,,27.0,,three,39.0,,11.0,
,4.0,three,,,,59.0,one,,
three,,zero,18.0,,three,39.0,one,27.0,
zero,4.0,three,,zero,,71.0,one,,one_zero_zero_one_zero
zero,,zero,,,,47.0,one,,
,3.0,two,26.0,zero,zero,55.0,one,12.0,
zero,,one,,,,39.0,,25.0,
two,2.0,,18.0,zero,two,39.0,,,zero_one_zero_zero_zero
one,,two,17.0,zero,two,39.0,,27.0,
,2.0,one,,zero,,,one,,
,,,14.0,,two,55.0,zero,24.0,
,,three,22.0,zero,,39.0,,30.0,
,2.0,one,,zero,one,39.0,one,11.0,
zero,2.0,zero,10.0,,zero,52.0,,6.0,
one,,zero,20.0,zero,two,89.0,,,
zero,5.0,zero,13.0,zero,zero,,,,one_one_zero_zero_zero
,,zero,,zero,two,59.0,one,,
zero,,two,20.0,zero,one,,one,,
zero,0.0,zero,30.0,zero,two,47.0,one,,
zero,,one,,zero,,39.0,one,40.0,
zero,,,,zero,zero,52.0,one,32.0,
,,one,20.0,zero,,39.0,one,3.0,one_zero_zero_one_zero
two,3.0,two,37.0,zero,one,29.0,one,,
one,,two,37.0,zero,two,59.0,one,,
zero,,two,26.0,zero,,39.0,one,21.0,
zero,,,,zero,zero,29.0,,30.0,
one,3.0,zero,22.0,zero,one,47.0,one,,
,2.0,one,,zero,,39.0,one,,
one,,zero,9.0,,one,24.0,,,
one,,,19.0,zero,one,69.0,one,1.0,one_zero_zero_one_zero
zero,3.0,,38.0,zero,,,zero,25.0,
one,4.0,three,23.0,,,47.0,one,33.0,
,,,26.0,zero,zero,,,,zero_one_zero_one_zero
,5.0,four,,,zero,39.0,,12.0,
one,,,10.0,zero,,43.0,,20.0,
,,zero,8.0,zero,two,,one,18.0,
,,zero,,zero,zero,43.0,,11.0,
,1.0,zero,44.0,zero,,,one,40.0,
