a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
zero,one,,three,40,zero,zero,one,zero,zero,44,,30,one
one,one,4,three,37,zero,one,,zero,,41,,,zero
one,,2,one,16,zero,zero,one,,one,45,one,26,
zero,zero,0,zero,,zero,one,zero,,zero,59,,8,zero
zero,,2,one,23,zero,zero,,zero,zero,41,one,33,zero
zero,zero,3,two,37,,,one,zero,zero,44,one,7,zero
zero,zero,3,,33,one,one,zero,,one,23,zero,30,
zero,one,,zero,47,zero,zero,,zero,zero,,,10,zero
zero,,2,,,,zero,one,zero,one,59,one,29,zero
,,3,zero,1,zero,zero,zero,zero,zero,,one,,zero
zero,two,2,,39,zero,one,zero,zero,two,71,one,34,one
zero,,,three,,zero,zero,one,zero,three,,,,one
zero,one,2,one,52,zero,zero,one,one,zero,83,one,43,one
zero,two,3,,,zero,zero,one,zero,two,19,one,52,one
,one,2,one,32,zero,,,zero,zero,39,one,39,
zero,zero,,,43,zero,zero,one,zero,zero,,,10,zero
zero,zero,,zero,,one,zero,zero,zero,,,one,8,
,two,,zero,9,,zero,zero,zero,,49,one,0,zero
one,one,1,,,one,,one,zero,three,,,2,one
,zero,,zero,10,zero,zero,zero,zero,one,19,one,20,
zero,,5,three,46,zero,one,zero,zero,,,zero,,zero
zero,one,3,two,28,,zero,,zero,,39,one,38,zero
,,1,zero,24,,one,,zero,,,one,,one
zero,,5,four,28,one,,one,zero,,43,one,38,
one,,2,one,14,zero,,,zero,zero,,one,24,
zero,one,,zero,43,zero,zero,zero,zero,two,29,one,53,one
one,,2,one,18,zero,zero,one,zero,zero,43,one,28,
zero,zero,3,,18,,zero,,,zero,43,,12,zero
zero,two,3,two,,zero,zero,,zero,one,,one,33,one
one,,4,,22,one,,one,zero,,19,one,20,zero
zero,zero,,zero,35,zero,zero,one,zero,zero,,,,zero
zero,zero,2,one,24,one,zero,,zero,one,39,one,9,
zero,one,2,zero,23,,zero,,,three,39,,,zero
,zero,0,zero,27,zero,one,zero,,one,69,,,zero
zero,,2,one,17,zero,zero,one,,two,69,one,27,
zero,,2,one,,one,,zero,zero,,39,one,34,
zero,one,,two,35,zero,,one,zero,,49,one,45,zero
one,,2,one,23,zero,zero,one,,zero,44,,26,zero
zero,one,1,zero,28,zero,zero,zero,zero,zero,49,one,,zero
one,zero,1,zero,17,,zero,zero,zero,,41,one,9,one
,,,zero,14,one,,zero,zero,two,39,one,23,zero
one,,8,four,19,zero,zero,,zero,zero,45,one,23,one
,,3,zero,,zero,zero,,zero,,,one,,
zero,one,7,four,37,zero,,one,,two,49,zero,22,one
,zero,,two,,one,,,zero,,47,,37,zero
,one,,two,,zero,zero,one,,one,69,one,24,one
zero,zero,1,zero,27,one,zero,,zero,,,,37,zero
zero,zero,5,,,one,,one,zero,,,one,,
zero,,,two,37,zero,,one,zero,two,49,one,22,zero
,,,two,15,zero,zero,one,,zero,69,one,,zero
zero,zero,9,,38,zero,zero,one,,zero,71,one,,zero
zero,two,6,one,,zero,zero,one,zero,one,59,one,43,one
zero,,3,one,48,zero,zero,one,,one,,one,7,one
,zero,,two,21,zero,zero,one,zero,zero,,one,,
zero,zero,3,one,47,one,,zero,zero,,39,one,50,one
zero,zero,4,zero,24,zero,zero,,zero,,49,,,
zero,,2,one,,one,zero,one,zero,two,35,one,8,zero
zero,,,,52,,one,zero,zero,,5,zero,62,
one,one,2,zero,,,,one,zero,two,43,one,,one
,zero,,two,18,one,zero,one,,zero,50,,28,zero
,,1,,34,one,,zero,zero,zero,29,one,44,
,one,,,42,,one,zero,zero,three,,,,one
zero,zero,,three,,,zero,,,zero,,one,40,one
zero,one,2,one,38,one,zero,one,zero,two,59,one,18,zero
zero,zero,,,24,zero,zero,one,zero,zero,,one,,zero
zero,zero,9,two,,zero,zero,,zero,,,one,29,zero
zero,one,,,,zero,zero,,zero,one,39,one,32,zero
,one,1,zero,32,,,zero,zero,three,49,,42,one
zero,zero,3,,27,zero,zero,one,,one,,one,30,one
zero,zero,,two,36,zero,zero,one,zero,zero,49,,39,zero
one,zero,1,one,46,,,zero,zero,,39,,,
zero,zero,4,,18,one,,one,zero,two,,one,8,one
,zero,5,zero,9,one,zero,zero,zero,one,44,one,,zero
,zero,3,zero,8,zero,zero,zero,zero,one,47,,,zero
zero,three,2,one,41,zero,zero,,,two,49,one,51,one
,zero,4,zero,,one,zero,,zero,,,,23,zero
one,,3,two,,zero,zero,,,,43,one,5,zero
,,,zero,2,zero,zero,,zero,zero,,,,zero
,zero,5,zero,14,zero,,zero,zero,two,39,,24,
zero,,4,,,zero,zero,one,,two,,one,32,one
one,,11,one,12,one,zero,zero,zero,zero,47,,22,
,zero,4,three,,zero,zero,one,,one,,one,40,one
,,0,,20,,zero,zero,,,,,4,one
zero,one,,,13,,zero,one,,,,,23,one
one,,6,,32,one,zero,one,zero,zero,24,one,42,
,zero,2,,40,,one,zero,zero,zero,,one,,zero
,one,3,two,14,,zero,one,,one,53,one,24,one
zero,zero,,,,zero,zero,one,zero,zero,,,63,zero
zero,zero,,zero,57,zero,zero,one,,zero,,one,,zero
,zero,6,,5,zero,zero,zero,,zero,,,,
zero,,6,zero,21,,zero,,zero,two,44,one,30,zero
zero,two,2,one,40,zero,,one,,zero,47,zero,,one
,zero,3,,11,zero,,zero,,one,,one,21,zero
zero,zero,,zero,,zero,zero,one,,,43,,11,
one,,3,,,zero,zero,,zero,two,47,one,,one
zero,one,3,two,22,zero,zero,,,two,39,,32,
,zero,0,zero,30,one,,zero,,,55,one,40,zero
zero,one,,two,19,,zero,one,,two,39,one,,zero
zero,three,4,zero,26,zero,,zero,zero,three,44,one,30,one
zero,zero,2,one,27,zero,zero,one,,zero,39,one,37,zero
one,zero,1,,,,zero,,zero,zero,,,26,
,,2,one,,zero,zero,one,zero,zero,47,one,35,
zero,zero,,,,,zero,one,,,71,one,4,
zero,two,3,,11,one,,,,,47,,21,zero
one,one,3,,,zero,zero,one,,two,39,one,,one
,,5,three,35,zero,zero,,zero,zero,44,one,,
zero,zero,,two,27,,zero,one,zero,one,47,one,6,zero
zero,,2,one,,,,,,,,one,52,zero
,zero,,zero,37,,zero,zero,zero,,36,,47,one
one,zero,4,,,zero,zero,one,zero,zero,39,,12,
,one,4,three,46,,,one,zero,two,39,one,56,one
zero,zero,,two,,one,zero,one,zero,zero,47,one,11,zero
,,,one,,zero,zero,one,zero,zero,47,one,,zero
zero,,2,,18,one,,one,,one,19,one,28,zero
,one,4,,15,one,zero,zero,,,19,one,,zero
zero,one,3,two,36,zero,,one,zero,zero,47,one,25,zero
one,zero,3,,,one,zero,one,,one,17,one,21,zero
,zero,4,,,zero,zero,one,,,29,one,48,zero
zero,two,3,two,37,,zero,,,three,29,,,
,zero,,two,,,zero,one,zero,,39,one,,zero
,two,,zero,14,one,,,,one,69,,24,zero
one,zero,0,,12,zero,zero,,,,,zero,16,zero
,one,3,two,41,one,zero,one,zero,two,39,one,39,zero
one,zero,3,,26,,zero,one,,,,one,36,zero
one,,2,one,31,,,one,,,39,one,28,one
zero,two,4,three,31,zero,zero,one,zero,zero,95,,8,one
one,one,7,,7,zero,zero,zero,,zero,,one,,
zero,,,one,,zero,,,,one,47,one,10,
,,0,zero,20,,one,zero,zero,,59,one,30,zero
,zero,,zero,8,zero,zero,zero,zero,,39,,14,zero
zero,zero,4,,,,zero,one,,zero,19,one,,zero
zero,,2,,28,zero,,,,,43,one,13,
zero,two,,,16,zero,zero,one,,one,,one,26,zero
one,,7,six,,zero,,one,zero,zero,39,,42,zero
,zero,4,zero,9,zero,zero,zero,zero,,35,,,zero
zero,,2,one,29,zero,zero,one,zero,zero,47,one,5,zero
zero,two,,,,zero,zero,one,zero,,,,,one
zero,zero,,two,,zero,zero,,zero,one,47,,44,
zero,one,2,one,36,zero,zero,one,zero,zero,43,one,20,one
zero,,5,four,26,zero,zero,one,,zero,,one,35,
,one,,two,33,zero,zero,,zero,two,,,43,one
zero,,5,four,34,,,,zero,one,69,one,44,
one,zero,2,one,,zero,zero,one,zero,zero,43,one,28,zero
zero,one,,two,,zero,zero,,zero,one,59,,38,one
,zero,5,three,19,zero,,,zero,zero,,one,28,
zero,zero,1,zero,57,zero,zero,one,zero,zero,,,,zero
zero,,3,,,,zero,one,,two,65,one,33,
zero,,,,23,zero,zero,one,zero,,65,one,6,zero
zero,zero,3,,17,zero,zero,zero,,one,43,,25,one
zero,zero,3,two,18,zero,zero,one,zero,one,39,one,21,zero
zero,zero,2,,27,zero,zero,,zero,zero,,one,37,zero
zero,one,3,three,33,one,one,zero,zero,,,one,30,one
one,zero,3,two,15,zero,,one,zero,zero,,one,,zero
one,one,6,one,24,zero,,one,,one,59,,34,zero
,zero,,,,zero,zero,one,zero,one,43,,41,zero
,,,zero,28,,one,zero,zero,two,47,,12,
zero,zero,,two,37,,,,zero,zero,49,,12,zero
zero,,4,,29,zero,zero,one,zero,one,43,one,4,
,,1,zero,53,,,zero,,zero,,one,,zero
zero,two,3,two,51,,zero,one,zero,zero,,one,61,one
,,3,zero,8,,zero,zero,zero,one,47,,18,zero
zero,zero,,zero,,,zero,one,zero,zero,34,one,50,one
,zero,,,57,zero,zero,,zero,two,,one,52,one
,one,4,three,40,zero,,one,zero,zero,43,,31,one
zero,zero,5,,,zero,,one,,one,64,one,53,
zero,zero,4,two,,zero,zero,one,,one,,one,57,zero
,one,2,zero,11,one,zero,zero,zero,,47,,,zero
,zero,,,10,one,zero,zero,zero,zero,83,,,zero
one,zero,6,five,26,,zero,one,zero,zero,47,one,15,
one,zero,2,one,14,one,,one,,one,39,one,9,
one,,2,one,18,zero,zero,one,zero,zero,47,one,28,zero
,three,,zero,7,zero,zero,zero,zero,one,49,one,17,zero
zero,,5,,28,one,,,,one,39,one,38,
one,zero,2,one,25,,,,zero,two,41,one,35,
zero,zero,4,,18,zero,,,zero,zero,,one,27,one
,zero,2,two,35,one,,zero,zero,,54,one,,zero
,three,3,,40,,,one,one,one,,one,45,one
zero,zero,10,zero,13,,zero,zero,zero,zero,,one,,zero
zero,zero,,three,,one,zero,one,,,49,,8,one
one,one,3,two,38,one,,one,zero,zero,,one,48,zero
zero,zero,,zero,6,one,,zero,zero,,47,one,16,
,zero,3,zero,13,,zero,,zero,zero,,,,zero
zero,one,1,,,zero,zero,one,zero,three,,one,18,one
zero,,3,,18,,zero,zero,,zero,34,one,28,zero
zero,zero,,two,,one,zero,one,,,,,51,
,zero,2,,31,one,zero,,zero,one,59,one,2,zero
zero,one,,,33,zero,one,,,three,44,one,,one
zero,zero,,three,23,one,zero,,,one,,one,,
zero,one,2,,47,,,one,zero,,47,one,,zero
,one,,,14,,one,zero,,one,47,one,,
,one,5,,20,one,,one,zero,zero,44,one,1,one
,zero,,two,36,one,zero,one,zero,zero,20,zero,30,zero
one,zero,,zero,22,zero,,zero,zero,,39,,32,zero
zero,,7,,,zero,zero,one,zero,zero,,one,42,zero
zero,,8,seven,38,zero,zero,,zero,zero,39,one,,zero
zero,zero,,zero,11,zero,,,,one,39,one,21,zero
one,,3,two,,zero,zero,one,zero,zero,,,,zero
zero,,5,four,25,zero,,one,,,,one,,
one,zero,2,one,,zero,zero,one,zero,zero,39,one,1,zero
zero,,10,nine,22,zero,zero,one,zero,zero,39,one,32,
one,zero,3,two,11,one,zero,one,zero,zero,27,,21,zero
,zero,3,,10,zero,zero,zero,zero,one,39,,4,zero
,zero,,zero,24,zero,zero,zero,,zero,24,one,,zero
,two,,zero,20,,zero,,zero,,47,one,,zero
zero,,2,,15,one,zero,one,,two,43,,23,
one,,2,one,20,zero,zero,one,zero,two,47,one,5,one
,,5,four,34,zero,zero,one,,three,39,zero,20,
zero,one,3,,30,zero,zero,one,zero,,43,,,zero
,zero,1,zero,45,one,zero,one,zero,,19,,27,
,,3,,46,one,,zero,zero,,,one,46,
zero,zero,2,zero,,,zero,one,zero,one,,,27,one
,one,,,25,one,,,zero,,,,35,one
,,2,one,46,zero,zero,,,zero,59,one,45,zero
one,zero,4,three,41,zero,zero,one,zero,zero,35,,51,zero
zero,zero,4,,28,,zero,one,,zero,59,one,20,zero
one,zero,,zero,,zero,zero,,zero,zero,46,,,zero
one,one,2,one,35,one,zero,one,,,47,one,14,one
zero,one,,three,33,zero,zero,,zero,two,39,one,43,one
,,1,,,,zero,,zero,zero,,one,31,zero
zero,two,3,two,28,zero,zero,one,zero,three,,,,
one,zero,,,10,,zero,zero,,two,,one,,zero
one,one,0,zero,,zero,one,,,zero,34,one,,one
zero,zero,7,seven,26,one,one,zero,zero,zero,,zero,36,zero
zero,zero,,zero,8,,zero,one,zero,one,,one,1,zero
one,,,one,16,,zero,one,,one,43,one,1,
,zero,,zero,,zero,,one,zero,two,,one,,zero
,two,4,three,38,,zero,,zero,zero,69,one,,one
,,,two,,one,one,zero,,,47,zero,,zero
,one,4,three,26,,zero,one,zero,,59,one,5,
zero,zero,1,zero,19,zero,one,zero,zero,,,,,zero
,one,,zero,31,one,zero,one,zero,three,,one,15,one
zero,,2,one,37,zero,,one,zero,zero,76,one,46,one
zero,,7,,,zero,zero,one,,zero,,one,,zero
,zero,2,,25,zero,zero,zero,zero,zero,,one,,zero
one,one,2,,21,,zero,,zero,two,49,,31,
zero,zero,,zero,35,zero,,one,,zero,,one,,zero
one,zero,4,,,zero,,,,zero,34,one,42,zero
zero,,,,16,,,,zero,one,53,,18,one
,zero,7,zero,,zero,,zero,zero,zero,24,one,11,
zero,zero,,,,zero,zero,one,zero,zero,39,,32,zero
,one,4,,,zero,zero,one,,,47,one,,zero
one,,5,,46,,,one,zero,one,41,one,45,
,zero,1,,,zero,,one,zero,zero,47,,,zero
zero,zero,,zero,,,zero,one,,,59,one,,zero
,zero,,zero,24,zero,zero,zero,zero,zero,,,,zero
,zero,5,three,31,,zero,one,,two,,,32,one
zero,,6,,37,one,,one,,,29,one,47,
zero,,,zero,31,zero,zero,one,zero,two,23,one,41,one
zero,zero,,two,,,zero,one,zero,zero,41,one,13,zero
zero,,2,one,,zero,zero,one,,zero,69,one,48,zero
zero,zero,14,,53,zero,zero,one,zero,,59,one,63,
,zero,,two,34,one,one,,,,55,,43,zero
one,zero,2,,11,zero,,one,zero,zero,,one,21,zero
zero,one,1,zero,,zero,,one,zero,two,,one,12,one
zero,zero,,zero,4,zero,zero,zero,zero,zero,,,,zero
zero,,3,two,,zero,,,,two,,one,38,one
,one,,,,one,zero,one,zero,two,47,,7,
zero,one,,one,30,,,,zero,,39,one,40,zero
,,2,one,53,zero,zero,one,,zero,34,zero,22,
one,one,4,,11,one,zero,zero,zero,,57,,21,zero
zero,zero,,three,29,,zero,,zero,zero,55,,39,zero
zero,zero,7,,40,,zero,one,zero,zero,47,one,50,
zero,two,3,,19,one,zero,one,zero,three,39,one,29,zero
,,1,zero,,zero,zero,one,zero,two,39,one,,
zero,,2,one,11,,zero,one,zero,one,47,one,21,
,one,,two,,,zero,one,zero,one,,,28,zero
zero,two,3,two,,zero,zero,one,,,,one,,one
zero,one,3,two,,zero,zero,,zero,,59,one,29,
,one,,zero,54,zero,zero,,,zero,41,one,12,
,zero,3,,,,zero,,zero,zero,14,one,,
one,one,4,three,,zero,zero,one,,zero,49,one,,zero
zero,,6,five,22,zero,,one,zero,zero,43,one,32,zero
one,two,1,zero,25,zero,,,zero,three,,one,,one
zero,zero,3,two,,one,,one,zero,zero,,zero,27,zero
zero,one,4,three,23,one,zero,one,,one,34,one,,one
,,,two,,zero,zero,,,zero,,one,28,zero
,,,,7,zero,zero,zero,zero,one,,one,,zero
zero,zero,0,zero,34,,zero,,zero,,,,18,zero
,zero,3,three,26,one,zero,,,,7,one,36,zero
zero,,3,,37,one,,zero,,,39,,,
zero,zero,,three,27,zero,zero,one,,,47,one,,zero
,zero,7,,7,,zero,,zero,,15,one,,zero
one,,,,28,,,,zero,zero,,,1,zero
zero,zero,0,zero,37,one,one,,zero,,39,one,46,zero
zero,zero,5,,53,,,one,zero,,,one,35,
zero,,,zero,10,,zero,zero,,,,,,
zero,,10,five,38,one,one,,zero,,39,,48,
zero,zero,,zero,10,,zero,zero,zero,two,,,10,
one,one,2,zero,9,one,zero,,zero,,39,one,,
one,,,two,17,zero,zero,one,zero,one,46,one,9,zero
zero,,6,two,17,one,zero,,,one,,,27,zero
,zero,,two,38,one,one,zero,,,47,zero,,zero
zero,two,8,three,,one,,one,zero,,,,48,zero
one,one,3,two,,,zero,one,zero,zero,55,,,zero
zero,,2,one,,,zero,,zero,one,35,,29,zero
one,zero,3,,,zero,zero,,zero,one,59,one,2,zero
,one,,zero,13,zero,zero,zero,zero,one,,one,,
zero,zero,7,six,41,zero,zero,one,zero,zero,,one,51,zero
one,,2,one,34,one,,one,zero,zero,,one,44,zero
zero,,,,,zero,,one,zero,one,,one,44,one
zero,one,3,two,40,,,,zero,two,35,one,50,one
,zero,,zero,35,one,zero,one,zero,one,,one,20,zero
zero,,,,37,zero,zero,one,zero,zero,,one,1,zero
,three,3,two,39,,,,zero,three,,,8,
zero,one,1,zero,,zero,zero,one,zero,three,,one,39,one
zero,zero,,,36,one,zero,one,zero,zero,29,,46,zero
,zero,0,zero,,zero,zero,,zero,,,,8,one
zero,,2,one,49,one,,one,zero,zero,,one,59,zero
zero,zero,,zero,41,,,one,,,,,,
,zero,6,zero,,one,zero,zero,,one,19,,,zero
one,,3,two,25,zero,zero,one,zero,zero,35,,35,zero
,zero,,zero,14,one,zero,,,,43,,,zero
,,3,zero,18,one,,zero,zero,,,,28,zero
