AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,DENSITY,EDU,PINCP,PINCP_DECILE,POVPIP,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
,1,1,0,2,1,3,2,,5,,5,210,,2,2,2,371,370
31,2,1,0,2,1,3,2,2731.2,5,20000,4,210,,2,2,2,,370
59,1,,0,2,0,2,2,2731.2,8,97000,9,501,2,2,,2,101,102
59,2,1,0,,0,2,2,2731.2,5,,2,501,2,2,2,2,98,102
35,2,6,0,2,1,2,2,2731.2,,,4,,2,2,2,2,166,165
55,1,1,0,2,0,,2,2731.2,,33000,6,193,2,2,2,2,204,204
55,2,,,2,0,,2,2731.2,8,,0,,2,2,2,2,197,
61,1,1,0,2,0,5,,2731.2,6,10000,2,115,2,2,,2,,
64,2,1,0,,0,5,1,2731.2,5,23000,5,115,2,2,2,2,,
25,2,4,0,2,0,5,1,2731.2,7,3000,1,,2,2,1,,,71
,2,6,0,2,0,2,2,2731.2,4,10100,,60,2,1,,2,203,203
62,1,,0,2,0,,2,2731.2,7,120000,9,501,2,,2,,195,
26,1,6,0,2,0,2,2,,5,,,,2,2,2,2,380,
38,2,,0,2,,,2,2731.2,5,16000,4,78,,2,2,2,54,54
64,,1,0,2,0,6,1,2731.2,,27600,,,2,,2,2,69,
77,1,1,,,0,6,1,,4,,2,177,2,,1,2,57,
36,,4,0,2,0,6,,,5,24000,5,177,2,2,,,,69
16,,6,0,2,0,6,1,,4,,0,177,2,2,2,,105,69
30,2,,0,2,3,5,,2731.2,7,24000,5,125,2,2,2,2,311,
,1,,0,2,3,5,2,2731.2,7,14000,,125,2,2,2,2,570,
39,1,1,0,2,1,3,1,,,40000,6,342,2,2,2,,229,229
39,2,1,0,2,1,3,,2731.2,7,30000,,,2,,2,2,186,229
37,2,5,0,2,3,5,,2731.2,5,,6,,2,2,2,2,295,295
,2,6,0,2,3,5,,2731.2,5,0,,122,2,,2,2,385,295
16,,,0,2,3,,2,2731.2,4,0,,122,2,2,2,2,406,295
42,1,6,0,,0,2,2,2731.2,5,38000,6,446,2,2,2,2,,190
,1,,,6,0,2,2,2731.2,5,38000,6,,2,2,2,,201,190
26,2,,0,1,2,4,2,2731.2,,0,0,,2,2,2,2,53,
29,1,1,0,1,2,4,2,2731.2,3,8800,,,2,2,2,,51,53
74,2,1,0,2,0,2,1,2731.2,7,,6,501,2,2,2,2,473,472
83,1,1,0,2,0,2,1,2731.2,5,62900,8,501,2,2,2,,,472
49,2,6,0,2,0,2,2,2731.2,8,18700,4,,2,,2,2,,
,,5,,2,0,2,2,2731.2,6,,0,111,,,2,2,155,164
51,2,6,,2,0,,2,2731.2,9,65000,,473,,,2,2,99,
,1,4,0,,0,,2,2731.2,4,5800,,44,,2,2,2,,100
79,2,6,0,2,0,2,2,2731.2,4,15000,3,473,,1,2,2,96,100
54,1,1,0,2,1,3,1,2731.2,9,80000,9,501,,2,2,2,189,
53,,1,0,,1,3,1,2731.2,7,36000,6,501,2,2,2,2,173,188
55,1,,0,1,0,3,1,2731.2,4,15000,3,76,2,2,1,1,,41
42,2,1,0,1,0,,,2731.2,8,600,1,76,2,2,2,2,50,41
76,,1,0,2,0,2,1,,,15000,3,150,,1,1,2,,58
71,2,1,0,2,,2,1,2731.2,,8000,2,150,2,2,,2,,58
93,2,3,0,2,0,,1,2731.2,5,,,15,,1,,,83,
,1,4,0,2,0,2,1,2731.2,8,900,1,15,2,2,2,2,61,82
,2,1,0,2,1,3,,2731.2,8,26400,5,,2,2,2,2,64,65
56,1,1,0,,,3,1,2731.2,5,,8,466,2,2,2,2,62,65
63,2,3,0,2,0,4,1,2731.2,7,13000,3,73,2,1,2,,116,
44,,5,0,2,,4,1,,4,0,0,,2,2,2,2,185,115
20,2,6,0,,0,4,1,2731.2,4,6300,,73,2,2,2,2,213,115
60,,3,,2,0,2,1,,8,48000,7,,2,2,2,,61,61
40,1,6,0,2,0,2,1,2731.2,,0,0,283,2,2,2,2,96,61
57,1,1,,,0,3,,,,,8,393,2,2,,2,41,40
62,2,1,0,2,0,,1,2731.2,7,4000,1,393,2,,2,2,,40
93,2,3,0,2,0,,1,2731.2,1,8500,,393,1,2,2,2,54,40
58,2,6,0,2,0,2,1,2731.2,10,26900,5,197,2,,2,2,,74
,2,6,,2,0,2,1,2731.2,7,6700,2,,2,2,2,2,136,
37,2,4,0,2,,3,1,2731.2,8,24000,5,,2,2,2,2,,
16,2,6,0,2,1,3,1,2731.2,,2400,1,,2,2,2,,73,83
,2,6,,2,1,3,1,2731.2,7,,0,129,2,1,2,2,71,83
50,2,1,0,9,,4,,,,60000,8,,,2,,2,72,72
52,,1,0,9,0,4,,,7,24000,5,329,1,1,2,2,74,72
18,2,6,0,9,0,4,1,,5,4000,1,329,,,2,2,74,72
62,1,5,0,2,0,,1,2731.2,5,33000,6,248,2,2,2,2,37,37
25,1,,0,2,0,2,1,2731.2,6,9000,2,248,1,2,2,2,80,37
59,2,5,,2,,2,,2731.2,,,6,236,,,2,2,41,37
86,2,3,0,2,0,5,1,2731.2,5,15400,4,415,,2,2,2,,267
64,,4,0,2,0,5,1,2731.2,9,0,0,415,2,2,,,200,267
67,2,4,,2,,,1,2731.2,,9400,2,415,2,2,,,,
,2,4,0,2,0,5,1,2731.2,,108000,9,,2,,2,2,199,
24,2,1,1,1,4,6,,2731.2,7,26500,5,168,2,2,2,,83,83
29,1,1,1,1,4,6,,2731.2,5,30500,6,168,2,2,2,2,52,83
35,,5,1,,,,1,2731.2,7,31000,6,121,,,2,2,,
18,2,6,1,9,2,4,1,2731.2,4,0,,121,2,2,2,2,170,153
,2,6,1,9,,4,,2731.2,3,0,0,121,2,2,1,2,162,153
41,2,6,0,2,0,2,2,,7,14000,3,181,2,2,2,,87,
22,1,6,0,,0,,2,2731.2,7,17000,4,181,2,2,2,2,,87
42,2,4,1,,,3,,2731.2,3,,0,202,,2,2,,127,126
21,1,6,1,1,0,3,,,,20000,4,202,2,2,2,2,83,126
,1,6,1,1,,3,2,2731.2,4,,4,202,2,2,2,,83,126
,,1,0,,0,2,1,2731.2,,19900,4,237,2,2,2,2,55,55
58,2,,0,2,,2,1,2731.2,5,20030,,237,2,2,,2,53,55
42,1,1,0,2,2,6,1,2731.2,5,,,222,,2,2,2,,104
,2,,,,2,,1,2731.2,,35000,6,222,2,,2,2,85,104
21,1,,0,,2,,,2731.2,5,,,222,2,2,,,129,104
18,,6,0,2,2,,,2731.2,5,0,0,222,2,,2,,114,
15,,6,0,2,2,6,1,2731.2,4,0,0,222,2,2,2,2,106,104
32,2,,0,2,1,2,2,2731.2,,7600,2,43,,2,2,,130,129
,2,,0,2,1,2,2,2731.2,7,36000,6,274,2,2,2,2,317,129
39,,,0,2,3,5,,,,40000,,,2,2,2,2,,70
,2,1,0,9,,,1,2731.2,8,40000,,266,2,2,,2,56,70
,,6,,,3,5,1,,4,1000,1,,2,2,2,,70,70
61,2,,,2,0,,1,2731.2,7,,4,188,,2,2,,,
27,2,6,,,0,2,1,2731.2,7,13000,3,188,2,,2,2,176,61
,2,,1,1,0,2,1,,5,30000,5,176,,2,2,2,145,144
,1,6,1,,,2,,2731.2,3,54000,,,,,2,2,232,144
70,,4,1,,0,2,,,1,0,0,176,2,,,1,312,144
41,2,6,0,2,,2,2,,8,45000,7,,2,2,2,2,384,
61,1,1,0,2,0,2,,2731.2,10,,9,,,2,2,2,48,48
,2,1,0,,0,,1,,8,,6,501,2,2,2,,46,48
,2,1,0,,0,3,1,2731.2,,15000,3,247,2,2,2,,41,42
72,1,1,0,2,0,3,1,2731.2,6,14400,3,247,2,2,1,2,33,42
44,1,6,0,,0,3,1,2731.2,7,20000,4,,2,2,2,2,54,
93,,,0,9,0,3,2,2731.2,4,9200,2,222,1,1,1,,,
65,1,,,9,0,3,2,2731.2,7,23000,5,222,,2,2,2,36,57
64,2,3,0,,0,3,2,2731.2,7,12000,3,222,2,2,2,,,57
56,1,1,0,2,0,2,1,2731.2,,6000,2,,2,2,2,2,71,71
53,2,1,0,,,2,,2731.2,,,,35,2,1,2,,97,71
,2,4,0,2,0,6,2,2731.2,5,55000,,,2,2,2,2,199,200
35,2,5,0,2,0,6,2,2731.2,,71000,8,392,,2,2,2,191,200
17,1,,0,2,,6,2,2731.2,4,,,392,2,2,2,2,248,200
15,1,6,,2,0,,,2731.2,4,0,0,392,2,2,2,2,248,200
68,2,1,0,2,,2,1,2731.2,10,,,501,2,,2,2,78,78
70,1,1,0,2,0,2,1,2731.2,11,71000,8,501,2,2,2,,62,78
29,2,6,0,2,3,4,2,2731.2,4,10000,2,38,2,2,,,309,309
56,1,1,,1,0,2,1,2731.2,3,8400,2,,2,2,2,,209,209
,2,,0,1,,2,1,2731.2,6,0,0,49,2,1,,,205,
69,1,1,,2,0,2,1,2731.2,10,80400,9,,,2,,2,38,38
,2,1,0,2,0,2,1,2731.2,10,52700,7,501,2,2,2,2,45,38
,2,,0,,0,3,,2731.2,4,16200,4,,2,,,2,86,86
51,2,,,2,0,3,,2731.2,7,28900,5,424,2,1,2,2,88,
22,,6,0,2,0,,1,2731.2,,,6,424,2,2,2,2,128,86
80,1,1,0,2,0,2,1,2731.2,,,1,252,2,2,2,2,55,56
75,2,1,0,,0,2,1,,,37000,6,252,2,2,2,2,90,56
66,2,,0,1,0,3,1,2731.2,4,,4,169,2,1,2,,,108
68,2,6,,1,0,3,,2731.2,4,16700,,,2,1,2,2,115,108
20,2,6,0,1,0,,1,,,400,1,169,1,2,2,2,147,108
64,,1,,,0,3,,,7,79900,8,501,2,2,2,2,182,183
61,,1,0,2,0,3,1,2731.2,10,47900,7,501,2,2,2,2,,183
31,1,6,0,2,0,,1,2731.2,7,27000,5,501,,2,2,2,297,
64,2,,,,1,3,1,2731.2,5,19300,4,199,2,,,2,152,153
61,1,,0,2,1,3,1,2731.2,3,,3,199,2,,2,,147,
17,,,0,,1,3,1,2731.2,,,2,199,,,2,2,146,153
34,2,,0,2,0,2,2,2731.2,10,46200,7,371,2,,2,2,132,133
,1,,0,2,0,,2,2731.2,5,17000,4,371,2,2,2,,,133
,1,1,0,2,0,,2,2731.2,12,18800,,162,2,,2,2,55,56
58,,1,0,2,0,2,2,2731.2,5,,2,162,1,1,2,2,65,
93,,3,0,2,0,2,1,,,15400,4,337,2,1,2,2,39,39
,,,0,2,0,2,1,,12,36000,6,337,2,2,2,,28,39
,2,3,0,2,,2,,,,9600,2,134,2,2,2,2,,
46,1,6,0,2,0,2,1,2731.2,4,,,134,,2,2,,104,73
75,1,1,0,2,0,,1,2731.2,5,31000,6,428,2,2,2,2,238,238
83,2,1,0,,0,2,1,2731.2,5,35000,6,428,2,2,2,2,390,238
55,2,4,0,2,1,2,2,2731.2,8,,0,0,2,1,2,2,75,74
48,2,,0,2,2,4,1,2731.2,,47000,,278,2,,2,2,,116
53,,1,0,,,4,1,2731.2,8,25000,5,278,2,2,2,2,100,116
15,2,6,0,2,2,4,1,2731.2,4,0,0,,2,2,2,2,68,116
26,1,1,0,1,2,4,1,2731.2,9,21000,,87,2,2,2,2,74,74
26,2,1,,,2,4,1,2731.2,7,1500,1,87,2,2,,2,72,74
38,2,,0,2,,3,2,2731.2,4,,3,62,1,2,2,2,59,59
,1,6,0,2,0,3,,2731.2,5,0,0,,2,2,2,,88,59
18,1,,0,2,0,3,2,2731.2,,0,0,62,2,2,2,,89,59
53,,,0,2,0,2,2,2731.2,5,20000,4,315,,2,2,2,113,113
53,,1,0,,0,2,2,2731.2,9,33500,6,315,2,2,2,2,,113
32,2,1,1,1,2,4,,2731.2,,0,0,6,2,,2,2,31,31
38,,1,1,1,2,4,,2731.2,5,1600,1,6,2,2,2,,51,31
35,2,5,0,2,4,6,,2731.2,8,37000,,108,2,2,2,2,207,206
,1,6,0,2,4,,1,,5,0,0,108,,,2,2,349,206
,2,3,,2,0,2,1,2731.2,7,31200,,361,2,2,2,2,,77
60,,,0,2,0,,1,2731.2,,24000,5,,2,2,,2,,77
40,2,6,0,,3,4,2,2731.2,,0,0,,,,2,2,143,142
50,2,5,0,2,,2,1,2731.2,,9000,2,,2,2,2,2,104,104
73,,3,0,,0,,1,2731.2,4,16800,4,139,2,,2,2,,53
28,1,6,0,2,0,2,1,2731.2,7,4500,1,139,2,,2,2,135,53
,2,4,0,,0,2,,2731.2,,,2,166,2,,,2,,120
60,,4,0,2,0,2,1,,6,16000,4,,1,1,2,2,91,120
46,2,6,0,2,0,2,,2731.2,9,,9,501,2,2,,2,630,
22,1,6,0,2,0,2,1,2731.2,,20000,4,,2,2,2,2,811,630
77,1,1,0,2,0,2,1,2731.2,7,68010,8,,2,,2,,72,72
,1,1,0,,0,,,2731.2,5,,4,501,2,1,,2,120,72
41,,,,2,,3,1,2731.2,7,,6,263,2,2,2,2,56,56
26,1,6,0,2,0,3,1,2731.2,,7000,2,263,2,2,2,2,96,56
39,1,6,0,2,,3,,2731.2,5,9000,2,,1,,2,2,71,56
61,2,1,0,2,0,2,1,2731.2,,27200,,313,2,2,,2,,77
65,1,1,0,2,0,2,1,2731.2,9,26200,5,313,2,2,2,,64,77
59,2,1,0,2,0,3,1,2731.2,5,35000,6,207,2,2,,2,79,80
65,1,1,0,2,,,1,2731.2,5,1400,1,207,2,,,2,66,80
39,2,6,0,2,0,3,,2731.2,5,4600,1,,,2,,2,92,80
52,2,1,0,2,0,2,2,2731.2,,0,0,178,2,2,,2,136,135
64,1,1,0,2,0,,,,4,30000,5,178,2,2,2,2,94,135
58,,6,0,2,0,,1,2731.2,5,15000,,,2,2,1,2,177,177
39,,6,0,2,0,,1,,4,,3,,2,2,2,2,281,177
39,1,6,0,2,,4,1,,4,190,1,97,1,1,2,,,
23,2,6,0,,0,4,1,2731.2,,0,,97,,2,1,2,326,177
,1,,,1,0,2,1,2731.2,9,,8,321,2,,2,2,171,171
23,2,1,0,1,0,2,1,2731.2,9,,,321,2,2,,,194,171
40,,4,0,,2,4,,2731.2,,20300,4,85,,1,2,2,198,199
19,2,6,0,,2,4,,2731.2,4,,1,,1,,2,2,258,199
16,,6,0,2,2,4,2,2731.2,4,0,0,85,2,1,,2,175,199
,2,1,0,2,0,2,1,2731.2,6,,,140,1,,2,2,,192
66,,,0,,0,2,1,2731.2,7,14400,,140,2,2,,,161,192
62,,6,0,,0,3,2,2731.2,5,8500,2,41,2,2,2,2,197,196
20,,6,,2,0,3,,2731.2,4,0,0,41,2,,,2,362,196
15,1,6,,,0,,,2731.2,4,0,0,41,,2,2,2,340,196
38,1,1,1,1,1,3,2,,3,,4,153,2,2,2,2,295,
38,2,1,,1,1,3,2,2731.2,5,11200,,153,2,2,2,2,269,
48,2,1,,,0,2,1,,12,58700,8,501,2,2,2,,107,107
55,1,1,,2,0,2,1,2731.2,9,32000,,501,,2,,2,62,107
