a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
,zero,5,zero,13,one,zero,zero,zero,two,43,one,,zero
one,one,3,two,37,one,zero,one,zero,three,23,one,0,one
one,zero,3,one,30,zero,zero,one,zero,two,97,,40,zero
one,,,zero,18,zero,one,,zero,three,49,one,28,one
zero,zero,3,two,33,zero,zero,one,zero,zero,53,one,12,zero
zero,zero,,two,18,zero,zero,one,zero,one,,one,8,zero
zero,one,2,one,49,zero,zero,one,zero,zero,47,one,,one
zero,one,4,zero,8,zero,zero,zero,zero,zero,47,one,,zero
zero,one,4,,17,one,zero,one,zero,one,43,one,24,zero
one,zero,,two,31,zero,zero,one,zero,one,49,one,12,one
one,one,1,zero,22,zero,zero,one,,zero,47,one,,zero
one,zero,,zero,4,,zero,zero,zero,zero,19,one,14,zero
one,,5,four,30,zero,zero,one,zero,zero,47,one,40,one
,one,0,zero,33,zero,one,zero,zero,zero,47,one,8,one
one,zero,2,two,25,one,zero,zero,zero,zero,49,one,35,zero
zero,one,4,one,42,zero,zero,one,zero,one,,one,,zero
one,,,zero,28,zero,zero,zero,zero,zero,41,,6,zero
zero,one,,zero,12,zero,zero,zero,zero,,44,one,6,zero
zero,one,1,,28,zero,zero,one,zero,two,,one,38,one
zero,zero,4,three,35,zero,,one,zero,zero,83,one,45,zero
zero,zero,7,zero,,zero,,zero,zero,zero,39,one,25,zero
zero,zero,0,zero,30,,zero,zero,zero,,39,one,19,zero
zero,one,4,,24,zero,zero,one,zero,,64,,20,zero
zero,one,7,zero,23,zero,zero,zero,zero,one,59,one,30,zero
zero,one,3,two,27,zero,,one,zero,two,35,one,,one
zero,one,4,three,40,zero,zero,one,zero,zero,44,one,,one
one,one,4,three,37,zero,one,zero,zero,zero,41,one,47,
,zero,2,one,16,zero,zero,one,,one,45,one,26,zero
zero,zero,0,,23,zero,one,zero,zero,zero,59,one,8,zero
zero,zero,2,one,23,zero,zero,one,zero,zero,41,one,33,zero
zero,zero,3,two,37,zero,zero,one,,zero,44,one,7,zero
zero,,3,two,33,,one,zero,zero,one,23,zero,30,
zero,one,1,zero,47,zero,zero,one,zero,zero,19,one,10,zero
zero,one,2,one,19,zero,zero,one,zero,one,59,one,29,zero
,zero,3,zero,1,zero,zero,zero,zero,,39,one,4,zero
zero,two,2,,39,zero,one,zero,zero,two,71,one,34,one
zero,zero,4,three,,zero,zero,one,zero,,89,one,49,one
zero,one,2,one,,zero,zero,,one,zero,83,one,43,one
zero,two,3,two,42,zero,zero,one,zero,two,19,one,52,one
zero,one,2,one,32,zero,zero,one,zero,zero,39,one,39,zero
zero,zero,,three,43,zero,zero,one,zero,zero,39,one,10,zero
zero,zero,4,zero,8,one,zero,zero,zero,one,44,one,8,zero
one,two,8,zero,9,one,zero,zero,,one,49,one,0,
,one,1,zero,20,one,zero,one,zero,three,43,one,2,
zero,zero,3,zero,10,zero,zero,zero,zero,one,19,one,20,zero
,zero,5,three,46,,one,zero,zero,zero,49,zero,56,zero
zero,,3,two,28,zero,,one,zero,two,39,one,38,zero
one,two,1,zero,,zero,one,zero,zero,one,43,one,34,
zero,two,5,four,28,one,zero,one,,two,43,one,38,one
one,zero,2,one,14,zero,zero,one,zero,zero,44,one,24,zero
,one,2,,43,zero,zero,zero,,two,29,one,53,one
,zero,2,one,18,zero,zero,one,zero,zero,43,one,28,zero
zero,zero,3,two,18,zero,zero,one,zero,zero,43,one,12,zero
zero,two,3,two,29,zero,zero,one,zero,one,49,one,33,one
one,zero,4,one,22,,zero,one,zero,two,19,one,20,zero
zero,zero,3,zero,35,zero,zero,one,zero,zero,29,one,45,zero
,zero,2,one,24,one,zero,one,zero,one,39,one,,zero
zero,one,,zero,23,,zero,zero,zero,three,39,one,32,zero
zero,zero,0,,27,zero,one,zero,,,69,one,20,zero
,one,2,one,17,zero,zero,,zero,two,69,one,27,zero
zero,zero,2,one,33,one,zero,zero,zero,,39,one,,one
zero,one,3,two,35,zero,zero,one,zero,zero,49,one,45,zero
one,,2,one,23,zero,zero,one,zero,zero,44,,26,zero
zero,one,1,zero,28,zero,zero,zero,zero,zero,49,one,38,zero
one,zero,1,zero,17,zero,zero,zero,zero,one,41,one,9,one
zero,one,8,zero,14,one,,zero,zero,two,39,one,23,zero
one,zero,8,four,,zero,zero,one,zero,zero,45,one,23,one
zero,zero,3,,24,zero,zero,zero,,,59,,34,one
zero,,,four,37,zero,zero,one,zero,two,49,zero,22,one
zero,zero,3,two,27,,zero,one,zero,zero,47,one,37,zero
,one,3,two,35,,,one,zero,one,69,one,,one
zero,zero,1,zero,27,one,zero,,zero,two,24,one,37,zero
zero,zero,5,two,16,,,one,zero,zero,44,,,zero
zero,zero,3,two,37,zero,zero,one,zero,two,49,one,22,zero
,zero,3,two,15,zero,,one,zero,zero,69,one,14,zero
zero,,9,seven,38,zero,zero,one,zero,zero,71,one,48,zero
zero,two,6,one,53,zero,zero,,zero,one,59,one,43,one
zero,one,3,one,,zero,zero,one,zero,,55,one,7,one
zero,zero,3,,21,zero,zero,one,zero,zero,39,one,,one
zero,zero,3,one,47,one,zero,zero,zero,one,,one,50,one
zero,zero,4,zero,24,zero,zero,zero,zero,zero,49,one,25,zero
zero,zero,2,one,34,one,zero,one,,two,35,,8,zero
zero,zero,4,one,52,one,one,zero,zero,,5,zero,,zero
one,one,2,zero,20,zero,zero,one,zero,two,,one,30,one
zero,,3,two,,one,zero,one,zero,zero,50,one,28,zero
one,zero,1,one,34,one,zero,zero,zero,zero,29,one,44,zero
zero,one,0,zero,42,zero,,zero,zero,three,39,one,30,one
zero,zero,,three,37,zero,zero,one,zero,,,one,40,one
zero,one,2,one,38,one,zero,one,zero,two,59,one,18,zero
zero,zero,,two,24,zero,zero,one,zero,,83,one,12,zero
zero,zero,,two,19,zero,zero,,,one,81,one,29,zero
zero,one,4,zero,22,zero,zero,zero,zero,one,39,one,32,zero
zero,one,1,zero,32,one,,zero,zero,three,,one,42,one
zero,zero,3,two,,zero,zero,one,zero,one,59,one,30,one
zero,zero,3,two,,zero,zero,,zero,,49,,39,zero
one,zero,1,,,one,one,zero,zero,zero,39,one,56,zero
zero,zero,,zero,18,one,zero,one,zero,two,19,one,8,one
zero,zero,5,zero,9,one,zero,zero,zero,one,44,one,10,zero
zero,zero,3,zero,8,zero,zero,,zero,one,47,one,18,
zero,three,2,one,41,zero,,one,zero,two,49,one,51,
zero,zero,4,zero,13,one,,zero,zero,zero,,one,,zero
one,one,,two,15,,,one,zero,zero,43,,5,zero
one,one,7,zero,2,zero,zero,zero,zero,zero,43,one,12,zero
,zero,5,zero,14,zero,zero,zero,zero,,39,one,24,zero
zero,one,4,zero,22,zero,zero,one,zero,two,24,one,32,one
one,zero,11,one,12,,,zero,zero,zero,47,one,22,
zero,zero,4,three,30,zero,zero,one,zero,one,49,one,40,one
one,zero,,zero,20,one,zero,zero,zero,zero,47,,4,one
zero,one,1,zero,13,,zero,one,zero,,35,one,23,one
one,zero,6,,32,one,zero,one,,zero,24,one,,zero
zero,zero,2,two,40,,one,zero,zero,zero,44,,39,zero
zero,one,3,two,14,zero,,one,zero,one,53,one,24,
zero,zero,,three,53,zero,zero,one,zero,zero,27,one,63,zero
zero,zero,1,zero,57,zero,zero,one,zero,zero,29,one,30,zero
zero,zero,6,zero,5,zero,zero,zero,zero,zero,47,one,15,zero
zero,zero,6,zero,21,zero,zero,zero,zero,two,44,one,30,zero
,two,2,one,40,zero,zero,one,zero,zero,47,zero,23,one
zero,zero,3,zero,11,zero,zero,zero,,one,59,one,21,zero
zero,zero,,zero,23,zero,zero,one,zero,two,43,one,,zero
one,,3,two,19,zero,zero,one,zero,two,47,one,,one
zero,one,3,two,22,zero,zero,one,zero,two,39,one,32,zero
zero,zero,0,zero,30,one,one,zero,zero,two,55,one,40,zero
zero,one,3,two,19,one,zero,one,zero,two,39,one,7,zero
zero,three,4,zero,26,zero,zero,zero,zero,three,44,one,30,one
zero,zero,2,one,27,zero,zero,one,,zero,39,one,37,zero
one,zero,1,zero,16,zero,zero,one,,zero,43,one,,zero
zero,zero,2,one,25,zero,zero,one,zero,,47,one,35,zero
zero,zero,2,one,15,zero,zero,one,zero,two,,one,4,one
zero,two,3,zero,,one,zero,zero,zero,,47,one,21,zero
one,one,3,two,33,zero,zero,one,one,two,39,one,21,one
zero,one,5,three,35,zero,zero,one,zero,zero,44,one,,one
zero,zero,3,two,27,zero,,one,zero,one,47,,6,zero
zero,one,2,one,55,one,zero,one,,,39,one,52,zero
zero,zero,1,zero,37,,,zero,zero,two,36,one,47,one
one,zero,4,three,26,zero,zero,one,zero,zero,39,one,12,zero
zero,one,4,three,46,zero,zero,one,zero,two,39,one,56,one
zero,zero,,two,22,one,zero,one,zero,,47,one,11,zero
zero,zero,2,,36,zero,zero,one,zero,zero,47,one,46,zero
zero,zero,2,one,18,one,zero,one,zero,one,19,,28,zero
zero,one,4,zero,15,one,zero,zero,zero,two,19,one,20,zero
,one,,two,36,zero,zero,one,zero,zero,47,one,25,zero
one,zero,3,two,27,one,zero,one,zero,one,17,one,21,zero
zero,zero,4,three,38,zero,zero,,zero,zero,29,one,48,zero
zero,two,3,two,37,one,zero,one,zero,three,29,,,one
,zero,3,two,33,one,zero,one,zero,,39,one,30,zero
zero,two,0,zero,14,one,zero,zero,zero,one,69,one,24,
one,zero,0,zero,12,,zero,zero,zero,one,47,zero,16,zero
zero,one,3,two,41,one,zero,one,zero,two,39,one,39,zero
one,,3,two,26,one,,one,zero,zero,47,one,36,zero
one,one,2,one,31,zero,zero,one,zero,two,39,one,28,one
zero,two,4,three,31,zero,zero,one,zero,zero,95,one,8,one
one,one,7,zero,7,zero,zero,zero,zero,zero,39,one,10,
zero,zero,,,11,zero,zero,one,zero,one,47,one,10,zero
zero,zero,0,zero,20,one,one,zero,zero,zero,59,one,,zero
zero,zero,3,,8,zero,zero,zero,zero,one,39,one,14,zero
zero,zero,4,three,34,zero,zero,one,zero,zero,19,one,44,zero
zero,two,2,one,28,zero,zero,one,zero,two,43,one,13,one
zero,two,11,three,,zero,zero,one,zero,one,23,one,26,zero
one,zero,,six,32,zero,zero,one,zero,zero,39,one,,
zero,zero,4,,9,zero,zero,zero,zero,one,35,one,19,zero
,,2,one,29,zero,,one,zero,,47,one,5,zero
,two,1,zero,49,zero,zero,,zero,two,39,,59,one
zero,zero,3,,34,zero,zero,one,zero,one,47,one,44,one
zero,one,2,one,36,zero,zero,one,zero,zero,,one,20,one
zero,zero,5,four,26,zero,zero,one,zero,zero,69,one,35,zero
one,one,3,two,33,zero,zero,one,zero,two,39,one,43,one
zero,zero,5,four,34,zero,zero,one,zero,one,69,one,44,
one,zero,2,one,18,zero,,one,,zero,43,one,28,zero
zero,,3,two,28,zero,zero,,zero,,59,one,38,one
one,zero,5,three,19,zero,zero,one,zero,zero,39,one,28,zero
zero,zero,1,zero,,zero,zero,one,zero,zero,59,one,67,zero
zero,one,,one,23,zero,zero,one,zero,two,65,one,33,
zero,zero,2,,23,zero,zero,one,zero,zero,65,one,6,
zero,zero,3,zero,,zero,,zero,zero,one,43,one,25,one
zero,zero,3,,18,zero,zero,one,zero,,39,one,,zero
zero,zero,2,one,27,zero,zero,one,zero,zero,,one,37,zero
,one,3,three,33,one,one,,zero,one,43,one,30,one
one,zero,3,,15,zero,zero,one,zero,zero,83,one,25,
one,one,,one,24,zero,zero,one,zero,,59,zero,34,zero
one,zero,1,zero,31,,zero,one,zero,one,43,one,41,
one,zero,1,zero,28,zero,one,zero,zero,two,47,,12,one
zero,zero,3,two,37,one,zero,one,zero,zero,49,one,12,zero
zero,one,4,three,29,zero,,one,zero,one,,,,one
zero,zero,1,zero,53,one,one,zero,zero,zero,5,one,49,zero
zero,two,3,two,51,zero,zero,one,zero,,95,one,61,one
one,zero,3,zero,,one,zero,zero,zero,one,47,one,18,zero
zero,zero,3,zero,56,zero,zero,one,zero,zero,34,one,50,one
one,zero,1,zero,57,zero,zero,one,zero,two,39,one,52,
zero,one,4,three,40,zero,zero,one,zero,zero,43,one,31,one
zero,zero,,four,44,zero,zero,one,zero,one,64,one,53,one
zero,zero,4,two,47,zero,zero,one,zero,one,20,one,57,zero
one,one,2,zero,11,one,zero,zero,zero,two,47,,21,zero
zero,zero,11,zero,10,one,zero,zero,zero,zero,83,one,18,zero
one,zero,6,five,26,,zero,one,zero,zero,47,one,15,zero
one,zero,2,one,14,one,zero,one,zero,one,39,one,9,zero
one,zero,2,one,18,zero,zero,one,zero,,47,one,28,zero
,three,3,zero,7,zero,zero,zero,zero,one,49,one,17,zero
zero,zero,5,four,28,one,zero,one,zero,one,39,one,,zero
one,zero,2,one,25,zero,zero,one,zero,two,41,one,35,one
zero,zero,,three,18,zero,zero,one,zero,zero,59,one,27,one
zero,zero,2,,35,one,one,zero,zero,zero,54,one,45,
zero,three,3,two,40,one,zero,one,one,one,53,one,45,one
zero,,10,zero,13,zero,zero,zero,zero,zero,39,one,,zero
zero,zero,4,three,,one,zero,one,zero,three,49,one,8,one
one,one,3,two,38,one,zero,one,zero,zero,44,one,48,zero
zero,zero,4,zero,6,one,zero,zero,zero,one,47,one,16,zero
,zero,3,zero,,zero,zero,zero,zero,zero,,,19,zero
zero,one,1,zero,21,zero,zero,one,zero,,59,one,18,one
zero,zero,3,one,18,zero,zero,,zero,zero,,one,28,zero
zero,zero,3,two,51,one,zero,one,zero,one,65,one,51,zero
zero,,2,,31,one,zero,one,zero,one,59,one,2,zero
zero,one,2,zero,33,zero,one,zero,zero,three,44,one,43,one
zero,zero,4,three,23,one,zero,one,zero,one,43,one,20,zero
zero,one,2,zero,,one,,one,zero,zero,47,one,14,zero
zero,one,,zero,14,zero,one,zero,,one,47,one,24,one
one,one,5,four,20,one,zero,one,zero,zero,44,one,1,one
zero,zero,3,two,36,one,zero,one,zero,zero,20,zero,30,
one,zero,0,zero,22,zero,zero,zero,zero,zero,39,one,,zero
zero,zero,7,six,32,zero,zero,one,,zero,47,one,42,zero
zero,,8,seven,38,zero,zero,one,zero,zero,39,one,35,zero
zero,zero,3,zero,11,zero,,zero,zero,one,39,,21,zero
one,zero,3,,20,,zero,one,zero,zero,,one,8,
zero,zero,5,four,25,zero,zero,one,,zero,29,one,20,zero
one,zero,2,one,17,zero,zero,one,zero,zero,39,one,1,zero
zero,zero,,nine,22,,zero,one,zero,zero,39,one,32,
,zero,3,two,11,one,zero,one,,zero,27,one,21,zero
,zero,3,zero,10,zero,zero,,,one,39,one,4,zero
zero,zero,1,zero,24,zero,zero,zero,zero,zero,24,one,34,zero
zero,two,,zero,20,one,zero,zero,zero,two,47,one,30,zero
zero,zero,2,one,15,one,zero,one,zero,two,,one,,zero
one,zero,2,one,20,zero,zero,one,zero,two,47,one,5,one
zero,zero,5,four,34,zero,zero,one,zero,three,,zero,20,one
zero,one,,zero,30,zero,zero,one,zero,one,43,one,40,zero
zero,,1,zero,45,one,zero,one,zero,zero,19,one,27,zero
zero,one,3,one,46,one,one,zero,zero,one,44,one,46,zero
zero,zero,2,zero,17,,zero,one,zero,one,59,one,27,one
one,,0,,25,one,zero,,,,43,one,35,one
one,zero,2,,46,zero,zero,one,zero,zero,59,one,,zero
one,zero,4,three,41,zero,,one,zero,zero,35,one,51,zero
zero,zero,4,three,28,zero,zero,one,zero,,59,one,20,zero
one,zero,1,zero,46,zero,zero,one,zero,zero,,one,56,zero
one,one,2,,35,one,zero,one,zero,one,47,one,14,one
zero,one,4,three,33,zero,zero,one,zero,two,39,one,43,one
zero,,1,zero,53,zero,zero,one,zero,zero,39,one,31,zero
zero,two,3,two,28,zero,zero,one,zero,three,59,one,2,one
one,zero,1,zero,10,zero,zero,zero,zero,two,43,one,3,
one,,0,zero,29,zero,one,zero,zero,zero,34,one,,one
zero,zero,7,seven,26,one,,zero,zero,zero,19,,36,zero
zero,zero,4,zero,8,one,zero,one,zero,one,41,one,1,zero
one,zero,2,,16,zero,zero,one,zero,one,43,one,1,zero
one,zero,1,zero,20,zero,zero,one,zero,two,41,one,30,zero
zero,two,4,three,38,one,,one,zero,zero,69,one,48,one
zero,zero,2,two,41,one,one,zero,zero,zero,47,zero,43,zero
one,one,4,three,26,one,zero,one,zero,zero,,one,5,zero
zero,zero,1,zero,19,zero,one,,zero,zero,39,one,27,zero
zero,one,1,zero,,one,zero,,zero,three,31,one,15,one
zero,one,2,one,37,zero,zero,one,zero,zero,76,,46,one
zero,zero,7,two,41,zero,,one,zero,zero,59,one,51,zero
one,,2,zero,,zero,zero,zero,zero,,59,one,35,zero
one,one,2,one,21,zero,zero,one,zero,two,49,one,31,one
zero,zero,1,zero,35,zero,zero,one,,zero,39,one,45,zero
one,zero,4,three,32,zero,zero,one,zero,zero,34,one,42,
,zero,2,one,16,zero,zero,one,zero,one,53,one,18,one
,zero,7,zero,1,zero,,zero,zero,zero,24,one,11,zero
zero,zero,1,zero,23,,zero,one,,zero,39,one,32,zero
zero,one,4,three,26,zero,zero,one,zero,zero,47,one,30,zero
one,zero,5,four,46,zero,zero,one,zero,one,41,,45,one
zero,zero,1,zero,34,,zero,one,zero,zero,47,zero,10,zero
zero,zero,1,zero,28,zero,zero,one,zero,,59,one,10,zero
one,zero,,zero,24,zero,,zero,zero,,51,one,30,zero
zero,zero,5,three,31,zero,zero,,,two,,one,32,one
zero,zero,6,,37,,zero,one,zero,zero,29,one,47,
,zero,1,zero,31,zero,zero,one,zero,two,23,,41,one
zero,zero,3,two,27,zero,zero,one,zero,zero,41,one,,zero
zero,zero,2,one,52,zero,zero,one,zero,zero,69,,48,zero
